"","age (Myrs ago)","failed runs (%)","CO2 (ppm)","O2 (%)"
"1",570,0,8855.04656649408,14.8809523809524
"2",560,0,9293.77315206233,13.790429658127
"3",550,0,8979.23892542473,17.9757908842733
"4",540,0,8587.33965194273,17.5067982413187
"5",530,0,7148.87752321992,21.1089588603633
"6",520,0,7642.79138118413,21.4328364528451
"7",510,0,8469.85040920022,20.8506517707431
"8",500,0,6292.12250009313,17.7189426732884
"9",490,0,4573.32378167433,18.7247774821978
"10",480,0,3548.13982039959,16.6954493464097
"11",470,0,2537.3590944789,14.9435760866071
"12",460,0,2064.60628674182,18.2597642979125
"13",450,0,1730.28680238269,17.9285582891977
"14",440,0,2219.20023272649,21.3257567909232
"15",430,0,1612.06906143821,23.6885109977772
"16",420,0,1970.7818242665,24.8881929901757
"17",410,0,2582.04081478323,26.9034934391169
"18",400,0,4208.43700494713,19.3704555232237
"19",390,0,2282.3258313804,22.3852852781098
"20",380,0,2187.48177630261,18.812020357258
"21",370,0,1718.96495782125,16.4912913396343
"22",360,0,1036.9974444044,19.1283910000247
"23",350,0,636.039773445951,25.9180176459083
"24",340,0,684.251885768016,25.7610719862909
"25",330,0,473.213666434627,23.1317291427457
"26",320,0,451.399118514125,25.2037630760483
"27",310,0,361.453456957049,29.1755020964502
"28",300,0,366.184941464887,31.5063042201647
"29",290,0,443.711202660352,33.1794659806025
"30",280,0,447.42370737421,32.664133989695
"31",270,0,734.13084735404,33.4232538620929
"32",260,0,725.656860642027,32.032198982921
"33",250,0,4140.39214735095,21.5018573581392
"34",240,0,3214.85624702813,17.5890492038162
"35",230,0,1204.00690424294,20.9387051867131
"36",220,0,2087.89871047656,25.8842191758579
"37",210,0,1574.47310442392,23.2933922845058
"38",200,0,1523.64953243918,18.11083231057
"39",190,0,1016.46913078294,7.18484645417847
"40",180,0,713.447463961477,16.0482201234618
"41",170,0,785.831831145975,14.7808038914376
"42",160,0,957.355093134474,15.9841310490741
"43",150,0,1084.48921477382,16.6083259271406
"44",140,0,1928.82000706582,12.8814381579326
"45",130,0,2870.80883091974,21.4935460124992
"46",120,0,1420.46594963257,24.9552588963516
"47",110,0,914.769277830474,26.0780361453302
"48",100,0,350.536289344989,25.6513962400789
"49",90,0,308.128879073797,24.7889751206082
"50",80,0,282.692836439361,23.7847130720646
"51",70,0,262.350965105284,23.5728235604035
"52",60,0,302.993730094233,22.4419574409458
"53",50,0,217.565549327541,21.972309105745
"54",40,0,219.481841291386,24.4431564092824
"55",30,0,261.645215974307,24.8146854853252
"56",20,0,279.390224232321,23.868851418333
"57",10,0,266.13198165215,22.0775675213451
"58",0,0,240.962280316412,20.527921094109
