Age (Ma),B_CO2 (ppm),B_0.025,B_0.975,B_O2 (%),B_0.025,B_0.975,R_CO2 (ppm),R_0.025,R_0.975,R_O2 (%),R_0.025,R_0.975,M12_CO2 (ppm),M12_LOW5%,M12_HIGH5%,M12_O2 (%),COPSE_L18_CO2(ppm),COPSE_HYBRID_CO2 (ppm),SCION_M21_CO2 (ppm),SCION_M21_O2 (%),GEOCLIM_CO2 (ppm)
540,1961.1,1463.1,2685.7,18.3,16.3,20.2,7761.3,4998.1,12269.7,17.5,15.4,19.5,,,,,3574.9,,7267.6,16.8,7690
530,2597.4,1893.6,3657.3,22.9,21.7,24,7302.8,4722.4,11465.9,20.2,18,22,,,,,3355.7,,6925,16.9,6730
520,2797.2,2025.6,3972.5,21.4,19.7,23.1,6221.2,4094.2,9650,19.3,17.1,21.5,7642.8,5365,11131.6,21.4,3242,6240.6,7097.2,15.2,5447
510,2567.9,1874,3625.4,21.1,19.6,22.6,5029.4,3375.5,7631.5,20,17.9,21.9,8469.9,5963.7,12295.8,20.9,3213,8560,6650.1,13.6,4131.6
500,2283.4,1685.8,3174,19.7,18,21.3,4047.3,2779,6036.6,18.1,15.9,20.3,6292.1,4497.9,8993.6,17.7,3158.9,6736.3,6518.3,13.7,3165.5
490,1908.1,1427.2,2616.9,19.2,17.7,20.6,3513.2,2450.5,5135.5,19.1,17.1,21,4573.3,3306.1,6456.5,18.7,3226.4,7861.5,5830.6,13.8,2711
480,1759.7,1331.8,2388.9,17.3,15.7,18.8,3171.4,2229,4574.8,16,14,17.9,3548.1,2580.5,4976.8,16.7,3303.8,6004.8,5174,14.2,2160.3
470,1565.1,1187.8,2114.7,15.1,13.5,16.6,2836.8,2022.8,4096.6,14.7,12.6,16.7,2537.4,1864.3,3520.4,14.9,3275.6,4416.8,4549.5,14,1845.6
460,1212.4,940.4,1615.4,18.9,17.4,20.1,2435,1758.2,3477,19.6,17.6,21.4,2064.6,1522.9,2851.4,18.3,3088.3,3593.2,5060.7,13.9,2230
450,1206.3,937.9,1588.1,18.3,16.6,19.7,2536.4,1828.3,3609.3,18.1,16.3,19.7,1730.3,1282,2379.4,17.9,2396.8,972.4,5940.7,14.2,2407.7
440,1419.2,1092,1894.3,22.3,21,23.7,2600.5,1862.1,3711,22.9,21.1,24.7,2219.2,1623.4,3093.8,21.3,2129.6,1474.6,5143.4,14.9,1832.5
430,1768.5,1338.2,2386,24.2,22.7,25.7,1956.6,1441.3,2740.2,25.4,23.4,27.3,1612.1,1194.9,2218.5,23.7,1821.4,3161.6,4364.6,15,1577.8
420,2271.6,1687.7,3156,26.6,24.9,28.3,2550,1820.8,3670.2,26.5,24.4,28.5,1970.8,1433.9,2767.4,24.9,1742.4,2027.7,4207.3,14.8,2146.2
410,2050.9,1512.2,2882.8,29.3,27.2,31.5,2612.2,1858.6,3858.8,28.7,26.4,30.9,2582,1845.1,3697.5,26.9,1753.3,3008.1,4378.3,14.8,2636.1
400,1944.5,1459.4,2656.9,19.6,17.1,22,2772.6,1975.6,3985.9,17.8,15.1,20.5,4208.4,2989.1,6052.9,19.4,2066.9,5654.5,4260.6,14.6,2821
390,1099.4,863.3,1435.9,21.4,19.4,23.3,1414.7,1052.9,1933.2,21.3,19.3,23.4,2282.3,1674.5,3157.7,22.4,1178.6,3836.3,3462.2,16.1,2643.3
380,1433.8,1100.5,1919,18,15.9,20,1647,1225.1,2280.8,17.4,15.4,19.5,2187.5,1592.7,3062.1,18.8,777.5,1464.8,2596.3,19.1,2277.3
370,1023.3,803.4,1334.8,16.1,14,18,1074.6,811.3,1450.9,15.5,13.5,17.5,1719,1193.6,2523.4,16.5,595.3,1734.5,3948.1,20.7,1940
360,732.9,559.9,987.2,18.1,16.2,19.9,786.3,575.8,1115.8,18.1,15.9,20.1,1037,689.2,1602.8,19.1,572.4,1448.9,3719.4,21.9,1793.4
350,246.1,171.6,362.3,25.2,22.9,27.5,278.6,180.5,444.9,25.3,22.6,27.7,636,391.2,1145.2,25.9,489.2,1656.8,2359.8,23,1780.1
