age,Sr,eSr,d13C,ed13C,d34S,ed34S,fR,efR,fL,efL,fA,efA,fA_Godderis,efA_Godderis,fAw_fA,efAw_fA,fAw_fA_Godderis,efAw_fA_Godderis,fD,efD,fD_Godderis,efD_Godderis,RT,eRT,GEOG,eGEOG,GEOG_Godderis,eGEOG_Godderis,fSR,eFSR,fC,efC
570,90,0.604948655,0,0.532743021,23,1.170257481,1.0128,0.0633,0.63,0.07875,1,0.1125,1,0.1125,1,0.1125,0.8132,0.091485,1.12,0.126,0.56185567,0.063208763,0.031993734,0.003999217,-0.4,0.875,-7.323,0.875,1,0.125,0.75,0.09375
560,90,0.604948655,0,0.106548604,23.1,0.468102992,1.0196,0.12745,0.63,0.070875,0.95,0.07125,1,0.075,1,0.125,0.8132,0.10165,1.12,0.098,0.56185567,0.049162371,0.031993734,0.003999217,-0.4,1.25,-7.323,1.25,1.04,0.13,0.75,0.09375
550,90,0.604948655,0,0.26637151,25.3,0.819180237,1.0244,0.089635,0.63,0.07875,0.9,0.10125,1,0.1125,1,0.125,0.8132,0.10165,1.12,0.112,0.56185567,0.056185567,0.040703164,0.005087896,-0.4,0.875,-7.323,0.875,1.2,0.15,0.75,0.09375
540,90,0.604948655,0,0.106548604,27.7,0.468102992,1.0272,0.10272,0.63,0.07875,0.85,0.095625,0.99,0.111375,1,0.125,0.8132,0.10165,1.12,0.14,0.56185567,0.070231959,0.02612829,0.003266036,0.6,1.25,-7.323,1.25,1.35,0.16875,0.75,0.09375
530,89,0.604948655,0,0.159822906,33.1,0.826228252,1.0283,0.08997625,1.05,0.13125,0.66,0.07425,0.961,0.1081125,1,0.125,0.82035,0.10254375,1.12,0.126,0.626440267,0.07047453,0.028706285,0.003588286,0.6,0.875,-5.9985,0.875,1.59,0.19875,0.75,0.09375
520,89,0.604948655,0,0.053495,32.7,0.674759216,1.0277,0.08992375,1.05,0.13125,0.64,0.072,0.932,0.10485,1,0.125,0.8275,0.1034375,1.12,0.126,0.691024864,0.077740297,0.03128428,0.003910535,0.6,1,-4.674,1,1.7,0.2125,0.75,0.09375
510,89,0.604948655,-0.5,0.106548604,35.3,0.880976731,1.0254,0.0640875,0.97,0.12125,0.66,0.066,0.902,0.0902,1,0.1125,0.83465,0.093898125,1.1,0.11,0.75560946,0.075560946,0.030325998,0.00379075,1.1,0.75,-3.3495,0.75,1.62,0.2025,0.75,0.09375
500,89,0.847105889,-1,0.092172,36.1,0.378756738,1.0217,0.1277125,0.99,0.099,0.65,0.08125,0.873,0.109125,1,0.125,0.8418,0.105225,1.07,0.13375,0.820194057,0.102524257,0.028902606,0.003612826,2.1,1.25,-2.025,1.25,1.52,0.19,0.75,0.09375
490,87,0.289167521,-1,0.213097208,34,1.162113018,1.0165,0.1270625,0.99,0.12375,0.65,0.08125,0.89,0.11125,1,0.125,0.826566667,0.103320833,1.03,0.12875,0.847786537,0.105973317,0.029208767,0.003651096,3.1,1.25,-1.985,1.25,1.5,0.1875,0.75,0.09375
480,85,0.859901113,-1,0.13757,30.5,0.982127792,1.0101,0.1262625,0.99,0.12375,0.62,0.0775,0.906,0.11325,1,0.125,0.811333333,0.101416667,0.96,0.12,0.875379018,0.109422377,0.029514928,0.003689366,3.9,1.25,-1.945,1.25,1.49,0.18625,0.75,0.09375
470,82,0.903875137,-1,0.136341,27.4,0.675111102,1.0023,0.1252875,1.07,0.13375,0.62,0.0775,0.923,0.115375,1,0.125,0.7961,0.0995125,0.92,0.115,0.902971498,0.112871437,0.029180872,0.003647609,4.6,1.25,-1.905,1.25,1.5,0.1875,0.75,0.09375
460,80,1.397512952,0,0.3387645,25.4,1.140540807,0.9934,0.124175,1.07,0.13375,0.62,0.0775,0.83,0.10375,1,0.125,0.8165,0.1020625,0.9,0.1125,0.94633111,0.118291389,0.027631331,0.003453916,5.8,1.25,-1.845,1.25,1.52,0.19,0.75,0.09375
450,78,0.380447649,0,0.256529,26,1.660933472,0.9833,0.1229125,1.15,0.14375,0.67,0.08375,0.737,0.092125,1,0.125,0.8369,0.1046125,1,0.125,0.989690722,0.12371134,0.026081789,0.003260224,4.6,1.25,-1.785,1.25,1.52,0.19,0.75,0.09375
440,79,0.696796673,0.7,0.439168,27,2.613852955,0.9723,0.1215375,1.43,0.17875,0.63,0.07875,0.755,0.094375,1,0.125,0.8412,0.10515,1.1,0.1375,0.946482717,0.11831034,0.024532248,0.003066531,2.6,1.25,-2.445,1.25,1.55,0.19375,0.75,0.09375
