,age (Myrs ago),failed runs (%),CO2 (ppm),0.025,0.975,O2 (%),0.025,0.975
1,570,7.45,6097,4053,9372,14.9,13.3,16.4
2,560,7.45,6350,4154,9912,13.0,10.6,15.5
3,550,8.59,6943,4484,11064,17.6,15.9,19.2
4,540,7.45,7761,4998,12270,17.5,15.4,19.5
5,530,8.38,7303,4722,11466,20.2,18.0,22.0
6,520,7.48,6221,4094,9650,19.3,17.1,21.5
7,510,7.61,5029,3376,7631,20.0,17.9,21.9
8,500,7.75,4047,2779,6037,18.1,15.9,20.3
9,490,8.21,3513,2450,5135,19.1,17.1,21.0
10,480,7.45,3171,2229,4575,16.0,14.0,17.9
11,470,7.45,2837,2023,4097,14.7,12.6,16.7
12,460,7.45,2435,1758,3477,19.6,17.6,21.4
13,450,7.45,2536,1828,3609,18.1,16.3,19.7
14,440,7.45,2600,1862,3711,22.9,21.1,24.7
15,430,7.45,1957,1441,2740,25.4,23.4,27.3
16,420,7.45,2550,1821,3670,26.5,24.4,28.5
17,410,7.45,2612,1859,3859,28.7,26.4,30.9
18,400,7.45,2773,1976,3986,17.8,15.1,20.5
19,390,7.45,1415,1053,1933,21.3,19.3,23.4
20,380,7.45,1647,1225,2281,17.4,15.4,19.5
21,370,7.45,1075,811,1451,15.5,13.5,17.5
22,360,7.45,786,576,1116,18.1,15.9,20.1
23,350,7.87,279,181,445,25.3,22.6,27.7
24,340,7.76,369,261,538,23.8,21.3,26.2
25,330,7.45,292,239,364,21.5,18.6,24.3
26,320,7.45,318,261,398,22.7,19.8,25.5
27,310,7.47,334,272,435,26.9,23.8,29.8
28,300,7.52,341,278,443,30.4,27.3,33.5
29,290,7.5,408,325,547,32.5,29.4,35.5
30,280,7.45,396,322,507,32.2,29.2,35.1
31,270,7.45,338,277,423,32.9,30.1,35.7
32,260,7.45,390,323,492,31.4,28.7,34.0
33,250,7.45,1599,994,2965,22.0,19.0,25.1
34,240,7.45,1437,908,2607,18.4,16.2,21.1
35,230,7.45,1325,831,2352,20.9,19.4,22.7
36,220,7.45,906,607,1520,25.9,24.5,27.5
37,210,7.45,788,544,1247,23.2,21.6,25.0
38,200,7.45,421,315,597,18.0,16.0,20.2
39,190,7.46,486,360,697,10.2,7.4,13.1
40,180,7.47,360,271,495,12.4,10.4,15.4
41,170,7.45,268,205,366,13.6,11.9,15.3
42,160,7.45,292,224,397,15.3,13.8,16.9
43,150,7.45,318,241,434,15.6,13.9,17.3
44,140,7.45,400,304,547,13.2,11.4,15.1
45,130,7.45,411,311,572,18.9,17.4,20.4
46,120,7.45,363,280,492,22.1,20.4,23.8
47,110,7.45,348,273,456,23.6,21.8,25.4
48,100,7.45,290,232,371,24.3,22.7,26.0
49,90,8.37,193,159,237,24.3,22.7,26.0
50,80,9.08,187,157,229,23.5,22.1,25.2
51,70,7.61,203,168,250,23.5,22.1,25.1
52,60,7.45,249,204,305,22.5,20.8,24.3
53,50,7.45,283,232,350,22.0,20.5,23.7
54,40,7.45,234,207,264,24.5,23.3,25.9
55,30,7.45,219,192,248,24.9,23.7,26.3
56,20,7.45,242,213,274,24.0,22.7,25.5
57,10,7.45,271,239,308,22.3,21.0,23.9
58,0,7.45,269,238,296,20.5,19.3,22.1
