Age (Ma),d34S,Sr
570,23,90
560,23.1,90
550,25.3,90
540,27.7,90
530,33.1,89
520,32.7,89
510,35.3,89
500,36.1,89
490,34,90.11
480,30.09370359,89.54651764
470,25.73,88.28203886
460,24.83719288,81.46721499
450,24.62045958,78.94340381
440,27.81417651,79.75624188
430,27.67174644,83.49261194
420,26.28979824,86.31125942
410,22.64775027,85.84733619
400,15.72776539,79.17884485
390,20.84010885,78.75783048
380,23.90971798,81.11631754
370,20.36088031,81.67602568
360,19.51446485,83.74510103
350,19.47931988,79.91959739
340,17.1844071,78.07488842
330,14.07800031,78.83658803
320,15.3595313,81.43038083
310,14.01273785,82.78442104
300,12.16311518,80.68721891
290,12.81054237,76.51999323
280,12.61290958,71.8798577
270,14.19619899,70.69090021
260,16.22859048,71.80273097
250,20.44417566,76.43731244
240,22.91778302,78.31839269
230,18.21032464,76.67184481
220,18.90817277,76.75736943
210,18.32220135,79.34719894
200,17.85121353,77.5811763
190,14.8831187,73.65484278
180,19.40829053,72.01271457
170,17.88447126,71.66374862
160,15.95114749,68.884745
150,16.49922303,70.45081055
140,17.24051924,73.54387387
130,17.09760002,74.63346039
120,16.25046936,73.31366961
110,15.77419827,73.77268385
100,17.80508691,74.49186038
90,18.73106318,73.78880022
80,18.30040462,75.57414009
70,18.78000399,77.70743084
60,18.29342428,77.97925981
50,19.33216843,77.54011521
40,22.19571499,77.71725657
30,21.7981472,80.07670076
20,21.83996527,85.15108069
10,22.06184078,89.08610743
0,21.66,90.78
