Age (Ma),M02
540,16.76156432
530,16.93969032
520,15.15343338
510,13.62587938
500,13.7098311
490,13.84763578
480,14.18957109
470,14.035141
460,13.91941119
450,14.16070785
440,14.91134884
430,15.0315287
420,14.84948911
410,14.82829127
400,14.57182743
390,16.10021021
380,19.14808096
370,20.73409366
360,21.91078375
350,22.95429795
340,23.35886678
330,23.21118324
320,23.09008111
310,22.81930497
300,22.92546265
290,22.96483636
280,22.93336269
270,22.93527601
260,22.87980061
250,23.07197007
240,23.02531248
230,22.46198121
220,22.13511847
210,21.73724907
200,20.85270511
190,20.76491856
180,21.33839121
170,21.69338686
160,21.61518494
150,21.65789521
140,22.68281848
130,23.57095119
120,23.95614434
110,24.35874053
100,24.57704469
90,24.49147447
80,24.06800905
70,23.8649081
60,23.68766587
50,23.41990525
40,23.48604191
30,23.80166422
20,23.82969851
10,23.14887674
0,22
