Age,Plat,Plon
14.2,-42.76,-56.84
14.2,-34.92,134.27
14.2,-30.62,-63.81
14.2,-28.6,-64.78
14.2,-26.52,-67.8
14.2,-26.61,-64.2
14.2,-26.62,-63.69
14.2,-25.55,-66.74
14.2,-25.57,-65.72
14.2,-25.23,34.96
14.2,-25.03,-67.24
14.2,-20.82,-65.88
14.2,-19.49,-68.6
14.2,-18.46,-69.58
14.2,-18.65,-62.45
14.2,-4.28,-75.17
14.2,-2.79,38.69
14.2,-0.46,35.56
14.2,6.8,48.1
14.2,11.45,95.54
14.2,10.79,39.37
14.2,10.87,46.26
14.2,10.87,46.26
14.2,12.94,50.15
14.2,13.29,39.36
14.2,16.23,-70.33
14.2,16.52,53.49
14.2,16.96,51.03
14.2,19.72,-75.02
14.2,22.15,-104.71
14.2,19.94,49.99
14.2,25.32,54.16
14.2,21.8,62.95
14.2,24.12,30.8
14.2,23.88,46.99
14.2,25.58,30.13
14.2,24.77,31.56
14.2,31.22,-105.75
14.2,32.13,-104.64
14.2,32.13,-104.64
14.2,27.61,-8.34
14.2,27.61,-6.43
14.2,28.11,-6.43
14.2,33.54,-109.51
14.2,28.8,41.14
14.2,32.48,-111.22
14.2,32.43,-110.24
14.2,29.71,4.06
14.2,34.12,50.85
14.2,34.95,-108.33
14.2,30.31,66
14.2,35.77,-112.28
14.2,35.69,-111.28
14.2,35.65,-110.78
14.2,35.45,-108.27
14.2,30.78,37.3
14.2,34.1,46.33
14.2,35.09,51.89
14.2,36.15,-110.71
14.2,37.79,86.99
14.2,36.69,-111.15
14.2,36.52,-109.15
14.2,36.44,-108.15
14.2,36.44,-108.15
14.2,35.78,-100.18
14.2,31.79,39.01
14.2,35.24,48.2
14.2,38.8,100.76
14.2,39.03,99.49
14.2,36.94,-108.08
14.2,39.28,98.43
14.2,39.28,98.43
14.2,37.52,-109.02
14.2,36.86,-101.04
14.2,33.24,-4.16
14.2,32.79,39.19
14.2,38.95,86.25
14.2,39.77,100.16
14.2,39.77,100.16
14.2,33.55,21.96
14.2,35.82,27.46
14.2,40.01,87.17
14.2,40.85,101.62
14.2,36.75,26.4
14.2,41.68,98.41
14.2,36.93,24.44
14.2,37.01,25.64
14.2,37.37,26.63
14.2,36.17,-6.2
14.2,36.27,-3.35
14.2,37.87,28.23
14.2,37.87,28.23
14.2,41.6,80.8
14.2,42.44,94.16
14.2,40.67,-98.52
14.2,37.3,-2.46
14.2,38.87,28.13
14.2,41.53,65.5
14.2,37.92,-6.29
14.2,38.23,-4.41
14.2,43.1,73.43
14.2,43.31,76.48
14.2,39.4,0.26
14.2,40.39,20.23
14.2,44.79,83.5
14.2,44.86,84.53
14.2,39.29,16.2
14.2,45.63,-109.85
14.2,42.5,21.93
14.2,43.13,19.94
14.2,46.55,-96.58
14.2,43.59,4.67
14.2,44.58,23.13
14.2,45.16,15.89
14.2,45.43,20.63
14.2,45.59,4.5
14.2,46.37,19.56
14.2,46.78,8.62
14.2,47.15,15.66
14.2,50.04,58.15
14.2,51.2,74.25
14.2,61.75,81.3
14.2,61.75,81.3
28.5,-45.51,-52.38
28.5,-29.49,-63.18
28.5,-28.5,-62.12
28.5,-27.58,33.94
28.5,-31.93,149.28
28.5,-26.58,33.85
28.5,-7.34,-70.97
28.5,3.77,46.45
28.5,17.95,-71.82
28.5,28.95,103.14
28.5,23.11,-7.68
28.5,35.77,108.57
