Age,Plat,Plon
0,-19.06,146.3
0,50.35,21.27
0.9,-32.27,115.27
0.9,-29.54,114.69
0.9,-29.14,114.39
0.9,-28.71,113.47
0.9,-24.32,113.15
0.9,-23.75,152.05
0.9,-23.58,43.66
0.9,-23.5,152.38
0.9,-22.07,113.87
0.9,-21.27,167.71
0.9,-20.62,167.05
0.9,-20.62,167.05
0.9,-20.15,165.97
0.9,-19.42,148.21
0.9,-18.4,147.04
0.9,-16.43,168.04
0.9,-16.3,167.72
0.9,-16.13,167.52
0.9,-15.75,167.37
0.9,-15.7,167.38
0.9,-13.56,167.06
0.9,-13.26,166.93
0.9,-7.99,124.47
0.9,-5.97,147.24
0.9,-5.75,147.02
0.9,-4.19,39.58
0.9,-3.45,39.98
0.9,0.18,42.4
0.9,1.91,45.22
0.9,9.91,123.73
0.9,10.46,118.84
0.9,10.67,124.01
0.9,11.9,43.2
0.9,11.97,-69.07
0.9,12.81,-59.5
0.9,14.96,39.78
0.9,16.05,-60.98
0.9,16.71,-87.86
0.9,17.68,-76.21
0.9,18.01,-87.57
0.9,20.46,-86.86
0.9,22.16,68.7
0.9,22.28,58.81
0.9,24.52,-81.3
0.9,25.05,61.23
0.9,24.98,-79.84
0.9,25.06,-110.29
0.9,25.84,-110.62
0.9,26.11,33.83
0.9,26.25,53.66
0.9,26.35,33.35
0.9,26.71,55.9
0.9,27.43,33.38
0.9,27.71,33.3
0.9,29.09,34.4
0.9,33.27,-117.72
0.9,38.99,16.5
0.9,43,9.37
0.9,21.14,-157.3
0.9,4.04,72.71
0.9,-17.76,-149.02
0.9,32.04,-64.47
0.9,-4.41,55.62
0.9,21.42,-157.39
0.9,21.37,-157.59
0.9,21.25,-157.05
0.9,20.46,-156.03
0.9,-20.01,-157.19
0.9,36.67,-25.13
0.9,-20.35,-156.81
0.9,-16.33,-145.65
1.3,-21.07,167.73
1.3,19.24,36.27
1.3,27.74,34.05
1.3,27.89,34.14
1.3,28.04,34.18
1.3,28.14,34.19
1.3,11.63,163.13
1.3,-17.79,-148.63
1.3,-18.09,-148.79
1.3,-17.88,-148.84
1.8,-15.91,144.94
1.8,-15.82,145.36
1.8,-13.37,167.5
1.8,-7.82,124.41
1.8,9.18,124.47
1.8,10.28,123.76
1.8,9.69,-82.93
1.8,12.65,-59.32
1.8,25.04,33.92
1.8,25.04,33.92
1.8,25.89,33.64
1.8,26.13,33.16
1.8,-20.49,57.48
1.8,-24.9,-127.21
1.8,20.29,-154.37
1.8,-20.37,-157.09
1.8,3.54,71.94
2.2,-23.06,113.75
2.2,24.28,-78.45
2.2,39.28,14.76
2.2,50.54,-11.84
2.7,-11.79,125.17
2.7,-10.96,126.17
2.7,-10.3,122.86
2.7,9.55,-82.8
2.7,24.7,-77.19
2.7,26.04,-77.96
2.7,51.5,-13.24
3.1,-35.64,138.96
3.1,-35.17,139.05
3.1,-35.07,139.62
3.1,-10.71,123.74
3.1,-6.47,110.56
3.1,-2.54,128.91
3.1,8.76,-81.85
3.1,8.83,-81.98
3.1,11.03,-68.93
3.1,17.25,-75.95
3.1,17.25,-75.92
3.1,24.13,-78.18
3.1,35.71,27.36
3.1,35.61,-6.66
3.1,36,-2.81
3.1,20.59,-155.64
4,-10.79,39.41
4,-10.2,145.12
4,-6.95,113.87
4,4.34,117.3
4,6.26,118.82
4,20.19,36.57
4,34.51,32.12
4,35.6,-75.23
4,-17.43,-149.25
4,-21.71,-172.91
4.5,-42.29,175.11
4.5,-9.25,163.21
4.5,-6.23,111.19
4.5,-6.02,113.05
4.5,-5.89,109.09
4.5,9.5,-83.03
4.5,10.5,-68.84
4.5,18.58,-70.6
4.5,24.7,-78.84
4.5,33.26,-114.32
4.5,39.52,-0.3
5.7,-11.27,39.75
5.7,38.06,16.58
5.7,38.14,16.6
6.3,-17.47,120.08
6.3,-15.58,120.63
6.3,9.82,-68.79
6.3,23.49,-77.13
6.3,31.56,-5.18
6.3,31.84,-5.37
6.3,32.88,-3.43
6.3,33.03,-4.37
6.3,33.07,-2.15
6.3,33.11,-2.34
6.3,33.23,-1.43
6.3,33.3,-3.77
6.3,33.38,-1.04
6.3,33.53,11.43
6.3,33.44,-1.99
6.3,33.48,-1.66
6.3,35.24,-3.2
6.3,35.34,-3.19
6.3,36.18,9.06
6.3,36.18,9.06
