Age,Plat,Plon
14.2,-5.79,-54.12
14.2,-1.78,-55.07
14.2,5.77,7.49
14.2,15.47,-76.57
14.2,16.23,-70.33
14.2,16.2,-69.35
14.2,16.81,34.65
14.2,-29.74,139.27
14.2,-14.91,178.29
14.2,-16.51,151.09
14.2,-10.28,170.25
14.2,-15.94,149
14.2,-11.17,122.48
14.2,-9.89,37.09
14.2,-3.73,111.4
14.2,-11.59,142.51
14.2,-2.92,107.38
14.2,-12.84,146.3
14.2,-8.07,145.93
14.2,-7.58,-65.22
14.2,-1.26,102.96
14.2,-0.75,114.94
14.2,-6.24,-76.24
14.2,-0.26,101.96
14.2,-0.25,113.94
14.2,-0.25,114.94
14.2,-3.31,162.65
14.2,0.24,102.95
14.2,-5.55,-66.17
14.2,1.74,115.95
14.2,-1.48,128.59
14.2,-3.47,-69.13
14.2,-2.79,38.69
14.2,2.74,115.95
14.2,-0.78,121.99
14.2,4.74,101.92
14.2,4.76,109.95
14.2,4.76,112.45
14.2,4.74,115.96
14.2,5.06,112.7
14.2,5.58,97.91
14.2,5.71,100.11
14.2,5.76,111.25
14.2,5.76,111.45
14.2,5.76,111.95
14.2,5.75,113.96
14.2,6.26,111.95
14.2,6.73,101.41
14.2,6.74,102.92
14.2,6.74,103.42
14.2,6.75,105.93
14.2,6.75,113.97
14.2,6.74,115.97
14.2,6.99,116.48
14.2,7.69,99.8
14.2,7.75,113.97
14.2,7.75,113.97
14.2,2.24,-56.01
14.2,8.74,102.9
14.2,9.14,98.91
14.2,9.24,102.4
14.2,9.25,99
14.2,2.19,127.39
14.2,5.2,-79.04
14.2,5.87,73.35
14.2,12.68,99.51
14.2,15.16,122.94
14.2,15.16,122.94
14.2,6.77,-57.93
14.2,15.45,123.77
14.2,13.68,99.45
14.2,5.72,126.51
14.2,8.82,35.1
14.2,7.85,71.59
14.2,7.86,71.84
14.2,7.9,75.3
14.2,15.06,106.46
14.2,17.49,122.05
14.2,17.36,122.54
14.2,16.81,124.5
14.2,17.23,124.1
14.2,11.17,-86.4
14.2,8.9,75.28
14.2,15.61,98.07
14.2,18.59,121.85
14.2,18.8,122.98
14.2,8.25,125.61
14.2,8.25,125.61
14.2,13.24,-87.23
14.2,10.65,-16.2
14.2,11.9,36.41
14.2,9.32,123.69
14.2,16.25,-94.71
14.2,12.84,70.31
14.2,20.3,97.01
14.2,20.55,96.99
14.2,15.34,-65.38
14.2,16.23,-70.33
14.2,16.2,-69.35
14.2,21.89,103.02
14.2,21.89,103.02
14.2,22,105.06
14.2,16.85,-73.93
14.2,22.62,107.57
14.2,19.28,-94.93
14.2,23.66,98.82
14.2,23.83,101.88
14.2,23.94,103.92
14.2,24.64,107.97
14.2,24.99,106.92
14.2,24.99,104.87
14.2,18.94,89.03
14.2,21.01,-78.87
14.2,25.77,100.73
14.2,26.48,95.56
14.2,26.99,104.75
14.2,27.04,105.77
14.2,27.46,115.01
14.2,27.01,96.03
14.2,27.42,94.47
14.2,27.48,95.49
14.2,27.69,99.06
14.2,27.71,99.57
14.2,21.96,90.94
14.2,28.27,100.56
14.2,28.32,101.58
14.2,29.1,97.42
14.2,29.91,113.84
14.2,23.27,89.55
14.2,29.79,100.96
14.2,29.79,100.96
14.2,29.82,101.47
14.2,24.15,10.55
14.2,25.03,16.69
14.2,27.61,-7.38
14.2,29.61,-6.43
14.2,29.62,-4.53
28.5,-1.42,-46.9
28.5,-0.94,105.99
28.5,0.14,106.9
28.5,2.29,101.19
28.5,-6.25,-73.96
28.5,-3.34,-70.87
28.5,-3.48,-63.86
28.5,7.57,95.12
28.5,7.72,96.63
28.5,7.94,98.83
28.5,6.98,110.67
28.5,9.81,97.43
28.5,13.99,99.04
28.5,3.48,-58.84
28.5,3.17,5.92
28.5,1.09,69.94
28.5,14.92,103.39
28.5,18.5,124.63
28.5,15.88,97.82
28.5,6.47,33.37
28.5,14.66,-86.12
28.5,21.38,96.63
28.5,22.29,95.5
28.5,23.13,105.77
28.5,13.31,-65.24
28.5,14.26,-68.23
28.5,26.04,104.47
28.5,13.4,65.96
28.5,12.58,81.15
28.5,27.94,110.05
28.5,27.26,94.96
28.5,18.18,90.57
28.5,28.95,103.14
28.5,29.61,93.13
28.5,16.48,85.04
28.5,17.44,86.93
28.5,21.18,91.07
28.5,21.17,91.55
28.5,21.48,91.07
28.5,18.42,88.8
28.5,29.52,-83.87
39.5,-4.41,-47.77
39.5,-3.46,-50.79
39.5,-3.38,-46.8
39.5,0.62,4.06
39.5,2.66,-1.82
39.5,2.52,35.9
39.5,6.32,-18.26
39.5,10.25,64.88
39.5,13.36,64.41
39.5,17.37,70.08
39.5,20.41,64.66
39.5,21,67.47
39.5,29.53,22.56
39.5,1.33,112.76
39.5,1.44,113.75
39.5,1.29,103.78
39.5,1.76,115.16
39.5,2.81,112.13
39.5,3.92,114.59
39.5,3.82,115.08
39.5,5.59,98.25
39.5,-24.96,120.87
39.5,6.8,112.42
39.5,8.07,108.46
39.5,8.15,114.54
39.5,9.07,108.52
39.5,9,109.53
39.5,-5.44,-61.8
39.5,10.24,95.44
39.5,10.57,97.75
39.5,10.06,108.59
39.5,-0.91,-63.71
39.5,15.19,94.68
39.5,3.79,129.61
39.5,11.12,-76.2
39.5,19.36,87.88
39.5,25.43,-88.54
39.5,25.29,-84.61
39.5,25.94,-85.46
39.5,18.46,38.93
39.5,24.68,-71.05
39.5,27.28,-81.25
39.5,29.01,60.64
39.5,27.93,-82.1
39.5,27.77,-81.15
39.5,27.44,-75.85
39.5,19.15,66.27
39.5,19.03,67.15
39.5,27.78,-71.44
39.5,25.43,26.63
44.5,17.24,64.64
44.5,17.53,66.01
44.5,3.22,111.95
44.5,5.21,112.11
44.5,-10.59,34.68
44.5,10.23,112
44.5,-3.91,-45.99
44.5,-1.89,-48.95
44.5,-4.4,0.37
44.5,2.61,88.46
44.5,-1.81,42.94
44.5,-6.84,64.63
44.5,-6.98,65.62
44.5,-6.34,68.45
44.5,-4.86,64.92
44.5,-5.25,67.84
44.5,7.54,87.31
44.5,2.73,-2.24
44.5,7.15,-19.34
44.5,5.46,63.58
44.5,28.52,101.97
44.5,28.61,102.76
44.5,28.94,105.48
44.5,28.99,105.9
44.5,6.74,61.9
44.5,29.61,102.6
44.5,7.11,80.43
44.5,7.55,81.36
44.5,10.25,65.27
44.5,18.5,21.45
44.5,16.67,66.31
44.5,17.17,66.39
44.5,29.91,67.69
45,-4.4,-3.68
45,-2.14,-18.43
45.5,-3.52,-71.21
52,-5.12,-45.89
52,-3.94,-48.83
52,-4.25,2.1
52,-1.7,-3.58
52,-4.17,34.07
52,3.61,-19.52
52,-2.66,62.6
52,0.34,58.62
52,0.47,62.36
52,4.16,68.05
52,29.09,-68
52,29.09,-68
52,7.92,65.77
52,23.33,22.22
52,27.98,21.09
52,21.97,16.5
52,26.49,12.98
52,27.72,11.54
52,28.34,10.83
52,29,9.92
52,7.38,108.73
52,-6.56,-5.12
52,-6.97,-1.14
52,1.16,88.27
52,-3.46,-19.76
52,1.47,-54.4
52,-16.16,63.77
52,-14.01,63.17
52,-14.55,66.15
52,6.04,86.92
52,0.29,-3.37
52,-1.46,130.63
52,13.91,-75.04
52,-6.46,61.28
52,-3.63,62.39
52,28.22,103.89
52,-2.25,60.8
52,17.08,86.59
52,29.56,99.74
52,-2.09,80.14
52,2.51,58.25
52,1.07,64.32
52,29.45,-83.85
52,29.08,-80.32
52,14.98,20.82
52,5.19,59.86
52,24.63,59.51
52,29.56,-69.87
52,6.14,64.52
52,5.96,65.35
52,7.92,65.77
52,23.08,26.65
52,24.22,24.8
52,24.39,27.43
52,28.25,-0.06
52,24.39,13.46
52,29.18,-13.76
52,28.34,10.83
53,-1.47,-6.8
57.5,29.78,-66.89
61,-7.33,57.63
61,12.95,66.53
61,28.16,-3.99
61,26.32,9.86
61,27.46,9.33
61,28.78,8.04
61,29.75,8.33
61,-11.47,-0.55
61,1.58,-61.25
61,-2.54,-6.27
61,-19.95,73.15
61,-11.96,55.7
61,-11.98,61.58
61,-9.18,56.87
61,-5.46,61.13
61,-6.56,64.32
61,-4.99,61.3
61,28.78,8.04
64,29.84,12.66
64,-7.15,-8.82
64,-7.15,-8.82
64,-8,-3.89
64,29.23,-2.33
69,-7.01,-14.21
69,-7.93,-4.68
69,-7.21,-3.03
69,-7.45,33.83
69,-2.45,-1.2
69,0.78,-5.04
69,-26.48,58.62
69,29.81,-3.84
78,27.09,13.01
78,-7.37,40.61
83,-1.42,-4.31
83,-1.42,-4.31
83,6.71,42.61
83,12.77,28.14
83,12.77,28.14
83,11.42,110.47
83,11.42,110.47
83,-1.14,7.74
83,17.82,-66.32
83,17.82,-66.32
83,13.03,-66.12
83,0.49,22.53
83,0.49,22.53
83,25.16,-79.02
83,25.16,-79.02
83,23.44,-72.05
83,23.44,-72.05
83,7.86,-57.9
83,7.86,-57.9
83,28.49,112.19
83,28.49,112.19
83,-23.1,48.88
83,-23.1,48.88
83,29.06,12.79
85,1.3,6.61
85,7.69,41.39
85,19.96,30.37
85,19.96,30.37
85,20.01,18.56
85,-23.77,24.95
85,26.43,16.62
85,28.65,13.27
85,29.84,12.97
87,1.79,1.13
88,-1.97,-47.33
89,-6.53,42.88
90,-6.65,43
92,19.41,31.27
92,21.31,19.46
92,28.86,-47.36
95,25.79,17.08
95,26.53,15.62
97,19.04,30.09
97,26.53,16.16
97,26.01,20.08
97,25.73,20.82
97,8.92,23.78
97,19.59,2.05
103.5,6.27,-53.61
