Age (Ma),CO2 (ppm),LOW 5%,HIGH 5%,O2 (%)
570,4459.2515498502,3392.28593460639,6006.03449819469,14.8809523809524
560,4558.61735931305,3431.71534783601,6194.62066570708,14.5091544518336
550,4389.77756677293,3311.36948176622,5951.09491802088,17.8481549328596
540,4318.08353917795,3251.22044930006,5865.50644831983,18.1441844955384
530,3720.60578323309,2833.56252542886,4990.41151841096,21.2726999687799
520,3928.98816711785,3003.79797726973,5251.26851112817,21.6851824386973
510,4273.66153595732,3274.04571384746,5698.9354185541,21.2452774408376
500,3350.82854772887,2601.29377426358,4406.68221868418,18.5275374674114
490,2606.77264748316,2043.92092945661,3391.07414913095,18.8346899180453
480,2126.90887351687,1679.10286691513,2746.50571568144,16.9264634895123
470,1625.8758394123,1296.81616106457,2076.31647073851,15.0577276597281
460,1382.25006606997,1107.59869886497,1756.190315521,18.1515076894298
450,1198.21823693808,965.339389235318,1513.73779447976,17.9036110187532
440,1465.84086134821,1167.73018867842,1874.43527132584,21.2638626981474
430,1139.49354762321,918.707095480735,1439.25356098367,23.4364309704477
420,1325.90446138685,1050.67064773102,1707.48684195892,24.6800752333855
410,1645.32586173584,1282.80649372391,2158.29203930285,26.5155421905557
400,2445.9160606364,1901.50198897869,3211.34409045047,19.2542151284948
390,1555.12609656215,1243.03261326978,1977.53080570601,21.8308561399541
380,1443.40585806308,1151.34397542397,1842.82695443843,18.621514370863
370,1142.40735976995,885.485205760001,1504.88636550987,16.556780394629
360,735.3764618048,561.430708733386,989.691822044473,19.1518502356743
350,481.450385240746,362.584735192105,672.125793722121,26.201200132169
340,518.81040571276,399.040154079303,703.209615462333,25.8773498844534
330,588.79715827728,437.076575923626,828.467032658686,22.5201269100985
320,524.363668047975,384.83199598488,746.933960740493,25.1816712582646
310,395.850896738013,295.639391437332,553.169154950099,29.202956760598
300,404.587530568057,306.837511192671,555.957433553961,31.5538100306407
290,519.318245103172,386.46493130206,728.832756421809,33.2568671110896
280,526.55401637092,396.129919860365,729.771842908289,32.7714869631678
270,1008.27974555427,736.332858572491,1451.33528699876,33.5440893594217
260,992.196492965044,728.032341929798,1416.15272461344,32.163175037412
250,1794.58046653315,1284.12307553486,2628.01443036662,18.9053766270812
240,1393.22480446152,1004.73679406442,2028.47789679778,17.2928717121205
230,744.911034680359,559.441491984672,1035.76829924752,21.3066410375846
220,1088.58559017152,786.692643051548,1584.81645661921,26.0986928708714
210,896.611111523373,661.155542170782,1274.18057801134,23.7048845813598
200,877.690828419411,647.850147851508,1246.79596009785,18.734042177341
190,667.368966149006,504.484415017221,921.28610385391,8.02429334329977
180,529.084114880603,400.149975588831,731.001719263261,14.7496309843074
170,560.951586676855,426.848355433516,770.306288596933,14.4254324295225
160,645.474958706723,486.387823020537,895.715152599361,15.906202226917
150,701.138908869416,526.705383828325,976.039182458247,16.5630751395707
140,1026.13626448675,752.506713799576,1466.38732299152,12.9288924911759
130,1336.25509659623,952.394770083159,1972.61145999357,21.3985730694754
120,842.424615486079,618.669513679341,1203.1892124684,24.854132216349
110,625.457701529889,468.870768248989,871.819929750435,26.0093283095857
100,319.673580406852,250.525112836092,422.532442352406,25.645875804331
90,291.280073345104,228.546624955361,384.628709531745,24.8315025654382
80,273.589485771006,216.642148424196,357.510101236604,23.8498636033721
70,259.059036516186,206.658413613673,335.664527730303,23.647689481046
60,287.538241496871,229.448500386917,372.920478065164,22.5264656159233
50,225.669838014345,184.557975357242,284.170291375296,22.0526753829571
40,212.950231654307,174.125425951449,268.125677780172,24.4894456003358
30,264.699855854644,211.891781618251,341.590515921682,24.8825114225858
20,287.640227821632,227.545865578116,376.090953751956,23.9455880911428
10,270.577092839596,213.653578333436,354.211914102915,22.1535885880857
0,238.400493250661,230.812553076098,247.567610389999,20.5932072204182
