Age,Mean CO2,Low,HIgh,St.Error,St.DEV,N
0,258.7072782,254.0251481,263.3894082,2.388841869,68.98750326,834
10,268.9091667,252.8260517,284.9922816,8.205670901,117.2004229,204
20,397.2793631,373.612994,420.9457321,12.07467807,151.2952825,157
30,540.7360811,499.6216899,581.8504722,20.97673017,180.448656,74
40,858.2639706,818.4115033,898.1164379,20.3328915,237.1202244,136
50,1154.66175,1052.795647,1256.527853,51.97250135,464.8561839,80
60,999.5693056,875.8257663,1123.312845,63.13445881,535.7136475,72
70,585.0608738,520.8690113,649.2527363,32.75095025,470.0645668,206
80,807.0869565,617.2779743,996.8959387,96.84131744,464.4346429,23
90,769.8909091,687.272897,852.5089212,42.15204699,312.6079471,55
100,977.5671642,916.5334701,1038.600858,31.13963986,254.8889374,67
110,1005.979592,893.4207891,1118.538395,57.42796056,401.995724,49
120,985.9509804,905.1333511,1066.76861,41.23348431,416.4377784,102
130,917.037037,712.2399428,1121.834131,104.4883134,542.9372029,27
140,834.9090909,697.7433431,972.0748387,69.98252438,328.2471353,22
150,742.2307692,681.7555337,802.7060048,30.85471203,157.3287787,26
160,844.7142857,659.8351108,1029.593461,94.32610967,249.5634283,7
170,1095.695652,919.3416482,1272.049656,89.97653262,431.5122915,23
180,922.6428571,848.5592678,996.7264465,37.79774966,200.0068914,28
190,1082.142857,807.1659873,1357.119727,140.2943213,371.1838846,7
200,1748.436364,1617.405152,1879.467575,66.85265878,701.1566005,110
210,1206.017544,1062.552199,1349.482888,73.19660439,781.5258729,114
220,2075.814815,1629.860754,2521.768876,227.5275822,1182.267998,27
230,1914.863636,1423.937435,2405.789838,250.4725516,1174.820404,22
240,935.5714286,375.1116473,1496.03121,285.948868,756.5495924,7
250,948.2727273,716.0090673,1180.536387,118.5018673,393.0262309,11
260,533,405.833907,660.166093,64.88065968,129.7613194,4
270,283.3333333,219.5531411,347.1135256,32.54091442,79.70863609,6
280,808.4545455,598.0360762,1018.873015,107.3563619,356.0607711,11
290,619.2307692,349.2179424,889.2435961,137.7616463,496.7066797,13
300,361.4736842,311.3647801,411.5825883,25.56576738,193.017311,57
310,431.3375,405.2057212,457.4692788,13.33254018,119.2498647,80
320,352.8333333,312.4890081,393.1776586,20.5838394,50.41990348,6
330,273.3333333,208.9874624,337.6792043,32.82952601,56.86240703,3
340,509,255.1238801,762.8761199,129.5286326,259.0572652,4
350,387,161.6,612.4,115,162.6345597,2
370,908.1666667,635.5732862,1180.760047,139.0782553,340.6707599,6
380,1047.842105,978.3093393,1117.374871,35.47590098,154.6358673,19
390,968.6666667,386.5133044,1550.820029,297.0170216,514.4485721,3
400,1801,858.24,2743.76,481,680.2367235,2
410,2192,929.76,3454.24,644,910.7535342,2
420,1560,1324.8,1795.2,120,169.7056275,2
450,509.5,444.9143958,574.0856042,32.95183886,147.3651033,20
