Age (Ma),CO2 (ppm)
450,509.5
440,685.178772640196
430,991.723465800245
420,1560
410,2192
400,1801
390,968.6666667
380,1047.842105
370,908.1666667
360,549.361723593801
350,387
340,509
330,273.3333333
320,352.8333333
310,431.3375
300,361.4736842
290,619.2307692
280,808.4545455
270,283.3333333
260,533
250,948.2727273
240,935.5714286
230,1914.863636
220,2075.814815
210,1206.017544
200,1748.436364
190,1082.142857
180,922.6428571
170,1095.695652
160,844.7142857
150,742.2307692
140,834.9090909
130,917.037037
120,985.9509804
110,1005.979592
100,977.5671642
90,769.8909091
80,807.0869565
70,620.1219512
60,607.8977273
50,803.4077922
40,1053.374532
30,949.2176166
20,435.0819892
10,320.683153
0,277.6646593
