Age (Ma),pCO2 probability maximum,lw95%,up95%
0,276.01,175.57,342.75
0.5,275.73,196.68,346.5
1,287.21,209.77,339.55
1.5,290.03,221.13,334.89
2,295.99,231,336.49
2.5,298.02,238.67,341.08
3,299.35,243.23,343.98
3.5,302.99,242.17,351.1
4,298.33,240.52,359.48
4.5,300,238.24,366.87
5,302.58,236.17,374.11
5.5,316.98,234.96,382.47
6,319.11,230.51,389.22
6.5,320.22,229.42,392.79
7,321.3,229.85,398.45
7.5,323.48,225.39,402.46
8,307.94,222.63,403.73
8.5,307.34,218.28,407.34
9,305.75,213.85,408.87
9.5,303.88,211.49,409.15
10,301.66,210.36,408.27
10.5,299.4,210.07,408.82
11,302.28,213.12,406.04
11.5,304.17,216.76,405.96
12,302.62,218.66,403.92
12.5,301.76,218.92,402.91
13,302.03,220.25,407.52
13.5,302.88,224.08,410.74
14,306.53,229.68,407.54
14.5,306.58,234.08,409.54
15,311.09,237.06,414.47
15.5,308.28,229.11,421.87
16,309.27,224.53,430.22
16.5,311.35,219.77,438.44
17,314.57,220.26,444.82
17.5,317.72,220.05,452.06
18,318.43,220.17,459.7
18.5,322.31,217.01,468.46
19,329.95,214.4,478.57
19.5,338.28,213.94,490.45
20,347.04,217.49,498.66
20.5,353,228.16,506.49
21,357.73,237.63,510.98
21.5,353.38,247.15,518.59
22,364.28,260.4,529.1
22.5,386.96,272.8,540.29
23,405.42,286.02,549.11
23.5,422.13,303.47,559.12
24,442.57,328.51,570.33
24.5,467.05,358.6,591.31
25,489.12,387.9,607.34
25.5,497.88,415.22,630.57
26,518.95,436.68,643.63
26.5,542.7,457.56,656.62
27,571.25,481.54,674.91
27.5,595.24,500.2,688.06
28,611.44,519.91,700.91
28.5,631.02,544.71,721.15
29,648.54,565.33,743.45
29.5,673.59,582.29,765.13
30,693.51,603.98,788.62
30.5,740.87,618.98,811.7
31,763.85,648.94,843.21
31.5,803.95,674.06,878.38
32,836.26,683.51,910.54
32.5,857.9,697.98,941.29
33,867.91,710.92,961.92
33.5,881.5,715.27,978.54
34,896.72,719.93,994.34
34.5,893.53,723.34,1007.08
35,904.18,720.35,1022.24
35.5,904.32,717.23,1033.95
36,900.7,713.73,1041.37
36.5,894.77,711.53,1041.52
37,894.98,702.62,1036.56
37.5,886.26,682.12,1026
38,860.04,661.23,1023.32
38.5,841.87,644.43,1017.7
39,814.58,635.52,1013.6
39.5,795.57,629.58,1003.63
40,768.22,612.93,993.77
40.5,794.57,602.51,984.13
41,766.13,579.28,972.06
41.5,749.27,562.03,965.56
42,736.23,539.59,971.6
42.5,717.84,523.53,970.64
43,723.59,525.91,970.61
43.5,701.63,527.21,971.71
44,732.4,542.41,968.01
44.5,751.41,541.66,985.2
45,768.61,551.06,1018.71
45.5,777.06,562.63,1043.38
46,790.45,569.43,1063.15
46.5,802.8,585.15,1082.27
47,817.34,600.9,1102.89
47.5,833.98,618.94,1132.09
48,811.38,630.38,1157.94
48.5,850.04,621.9,1178.64
49,853.41,616.66,1182.5
49.5,843.32,610.74,1177.26
50,827.61,606.32,1142.74
50.5,812.64,607.08,1109.2
51,786.2,598.11,1071.27
51.5,755.57,589.5,1027.97
52,730.23,577.26,991.29
52.5,744.05,565.27,948.55
53,726.72,545.85,907.31
53.5,701.62,532.41,864.23
54,669.94,511.6,821.9
54.5,636.54,491.47,783.75
55,604.41,465.99,755.91
55.5,577.47,434.67,729.6
56,565.49,413.54,700.59
56.5,535.85,389.45,666.96
57,497.39,365.14,624.82
57.5,455.74,343.02,590.95
58,417.94,319.9,568.05
58.5,390.44,294.35,549.99
59,380.4,273.13,533.35
59.5,364.39,256.71,525.41
60,350.14,246.23,512.76
60.5,336.38,238.17,496.16
61,328.65,233.4,485.98
61.5,315.58,230.18,476.64
62,309.78,223.7,470.6
62.5,304.22,213.93,461.9
63,288.17,203.81,451.87
63.5,275.4,189.43,436.36
64,261.7,181.5,425.99
64.5,256.67,167.1,418.33
65,244.44,153.52,423.89
65.5,235.4,146.09,421.65
66,228.84,147.25,420.5
66.5,238.8,149.51,416.01
67,247.76,153.69,406
67.5,245.15,151.74,417.62
68,244.28,150.1,445.41
68.5,247.71,146.11,466.63
69,261.65,146.36,483.28
69.5,278.05,150.05,504.84
70,304.07,152.01,537.55
70.5,334.7,147.28,585.21
71,345.49,141.22,633.67
71.5,355.69,136.67,674.63
72,369.23,134.42,712.36
72.5,397.26,155.84,752.4
73,435.21,162.71,781.54
73.5,454.2,183.39,818.85
74,487.96,198.34,873.89
74.5,515.38,212.31,936.12
75,559.27,228.82,995.67
75.5,584.05,249.26,1012.84
76,611.01,268.11,1043.55
76.5,624.52,270.48,1079.28
77,649.32,277.6,1149.12
77.5,680.95,288.62,1182.12
78,714.54,277.58,1226.3
78.5,696.89,265.66,1274.43
79,692.48,264.81,1314.89
79.5,685.23,275.67,1344.54
80,675.53,284.87,1358.22
80.5,677.98,278.64,1377.85
81,659.94,274.95,1397.98
81.5,668.49,272.1,1420.14
82,683.89,253.6,1437.78
82.5,699.49,245.36,1429.22
83,680.8,250.84,1412.29
83.5,634.3,232.67,1378.08
84,623.45,223.49,1360.85
84.5,614.81,213.57,1338.61
85,619.42,196.1,1344.99
85.5,629.72,199.56,1361.26
86,611.63,202.85,1346.3
86.5,601.04,198.88,1309.67
87,574.15,198.18,1290.36
87.5,574.37,194.65,1256.57
88,558.55,145.34,1273.62
88.5,498.7,115.81,1268.5
89,477.51,103.72,1234.29
89.5,455.56,112.88,1179.88
90,450.16,136.28,1119.39
90.5,473.13,160.58,1044.34
91,481.15,177.34,977.08
91.5,479.48,188.33,947.91
92,462.19,201.49,921.67
92.5,467.86,218.5,893.14
93,496.03,253.21,862.37
93.5,522.13,293.08,868.69
94,535.3,312.53,879.68
94.5,568.52,329.03,926.34
95,596.8,327.61,964.61
95.5,609.86,339.95,1014.81
96,622.05,356.71,1068.84
96.5,650.13,371.62,1127.38
97,691.83,379.83,1201.3
97.5,730.74,387.25,1246.52
98,777.35,390.98,1305.92
98.5,814.98,405.88,1322.65
99,805.8,453.26,1332.98
99.5,833.61,492.1,1342.03
100,862.05,529.03,1351.09
100.5,898.53,566.59,1364.69
101,945.01,589.27,1371.41
101.5,965.86,625.55,1409.24
102,986.66,652.85,1402.44
102.5,1006.27,682.31,1403.14
103,1013.91,700.81,1399.68
103.5,1012.72,689.34,1420.69
104,1027.05,679.81,1441.05
104.5,1040.37,680.47,1477.69
105,1046.47,681.97,1494.91
105.5,1019.65,693.11,1516.04
106,1037.44,693.12,1530.78
106.5,1033.25,682.51,1562.19
107,1028.16,672.54,1590.83
107.5,1039.07,661.49,1626.42
108,1040.79,668.04,1646.39
108.5,1055.28,663.72,1650.65
109,1058.74,681.73,1646.9
109.5,1069.77,697.54,1636.46
110,1110.78,697.67,1629.87
110.5,1112.36,698.69,1651.27
111,1148.07,709.5,1657.74
111.5,1171.66,697.88,1669.78
112,1084.42,705.3,1671.19
112.5,1095.61,715.31,1693.67
113,1194.91,710.36,1669.1
113.5,1207.55,725.86,1642.38
114,1123.15,722.17,1663.06
114.5,1112.02,724,1679.86
115,1107.09,715.82,1688.2
115.5,1102.52,712.15,1678.97
116,1103.25,716.13,1669.3
116.5,1093.39,743.1,1632.4
117,1077.79,754.6,1623.4
117.5,1155.01,758.89,1611.81
118,1132.44,751.75,1583.56
118.5,1109.51,751.66,1572.79
119,1085.07,747.02,1530.5
119.5,1065.49,759.66,1473.73
120,1035.66,762.36,1425.7
120.5,1016.73,756.22,1371.2
121,1004.47,742.5,1354.28
121.5,990.7,725.31,1338.19
122,983.18,705.71,1324.39
122.5,968.78,695.68,1311.48
123,987.36,673.46,1297.03
123.5,931.03,650.68,1298.42
124,878.83,609.74,1310.94
124.5,861.74,568.28,1335.44
125,856.72,538.96,1324.17
125.5,867.26,526.41,1325.9
126,899.52,512.68,1324.28
126.5,935.43,487.92,1347.6
127,925.84,489.83,1353.44
127.5,856.06,467.7,1368.53
128,848.35,480.12,1380.09
128.5,836.78,485.99,1373.77
129,846.83,491.07,1372.52
129.5,913.11,519.51,1371.83
130,935.09,521.18,1380.66
130.5,950.58,516.37,1396.33
131,906.95,495.44,1425.3
131.5,879.94,493.94,1443.45
132,886.48,501.6,1475.08
132.5,892.13,505.1,1503.03
133,909.1,505.15,1561.87
133.5,925.75,511.66,1600.78
134,949.64,520.88,1647.52
134.5,972.22,511.27,1693.79
135,983.04,510.15,1714.28
135.5,993.36,528.45,1726.94
136,1003.59,524.26,1756.3
136.5,1024.47,531.46,1733.08
137,1011.73,527.23,1722.23
137.5,1014.2,522.94,1710.12
138,1007.19,522.36,1673.67
138.5,991.33,535.15,1613.97
139,947.7,549.58,1519.2
139.5,919.17,565.38,1402.67
140,906.23,560.73,1313.56
140.5,890.4,562.92,1249.5
141,848.21,539.63,1214.76
141.5,841.34,529.02,1193.05
142,831.85,522.4,1161.22
142.5,831.68,508.55,1147.62
143,738.7,491.11,1133.15
143.5,725.03,469.98,1131.08
144,664.43,439.58,1120.83
144.5,651.1,422.71,1107.48
145,713.01,414.46,1110.6
145.5,742.41,397.08,1119.83
146,766.99,381.21,1136.45
146.5,754.86,361.19,1182.33
147,746,340.77,1214.79
147.5,737.93,328.65,1233.47
148,725.33,325.22,1245.62
148.5,717.12,346.18,1265.68
149,738.03,376,1272.91
149.5,717.24,398.71,1306.3
150,703.38,386.68,1380.45
150.5,824.47,391.32,1414.02
151,834.46,382.23,1432.28
151.5,799.6,386.41,1442.11
152,812.24,393.19,1458.75
152.5,809.92,358.72,1506.7
153,815.46,327.25,1553.08
153.5,827.93,297.85,1618.23
154,813.72,294.23,1622.33
154.5,807.17,277.83,1657.82
155,794.32,250.69,1673.13
155.5,756.06,192.32,1706.9
156,722.07,156.01,1720.85
156.5,897.28,141.7,1738.05
157,858.14,149.05,1751.24
157.5,835.77,157.08,1745.76
158,822.84,165.15,1722.43
158.5,814.67,201.16,1674.66
159,797.35,223.29,1615.62
159.5,796.5,230.65,1577.01
160,795.33,257.92,1536.16
160.5,782.89,280.14,1526.31
161,785.35,327.06,1484.46
161.5,793.06,355.2,1451.69
162,775.16,407.97,1421.61
162.5,785.09,445.94,1379.77
163,771.41,484.03,1347.41
163.5,881.36,519.58,1361.4
164,855.45,529.68,1384.46
164.5,861.99,555.04,1392.36
165,871.25,579.04,1389.35
165.5,877.2,614.58,1388.32
166,895.9,658.85,1375.63
166.5,929.99,692.5,1355.02
167,974.75,709.88,1341.55
167.5,1004.32,717.87,1344.47
168,1011.74,735.25,1337.68
168.5,1029.62,748.08,1323.74
169,1045.27,759.74,1329.48
169.5,1041.41,761.08,1323.07
170,1037.52,736.21,1350.18
170.5,1029.03,739.56,1384.06
171,1071.4,734.43,1413.76
171.5,1064.67,720.61,1451.62
172,1048.07,696.83,1508.77
172.5,1043.98,650.99,1569.38
173,1040.97,615.01,1637.33
173.5,1027.7,582.27,1718.12
174,1022.63,569.6,1783.87
174.5,1018.11,550.83,1826.13
175,1015.82,545.45,1848.39
175.5,1012.49,530.82,1844.1
176,1020.94,518.84,1833.68
176.5,1015.73,506.27,1856.58
177,1008.42,498.32,1892.12
177.5,999.39,501.16,1865.44
178,998.07,512.85,1849.54
178.5,983.26,530.1,1802.39
179,971.06,542.21,1749.05
179.5,941.81,529.93,1713.55
180,909.5,542.59,1748
180.5,908.94,538.52,1699.73
181,912.62,547.16,1639.33
181.5,926.38,553.23,1591.2
