Age (Ma),CO2,lw95%,up95%
0,276.01,175.57,342.75
10,301.66,210.36,408.27
20,347.04,217.49,498.66
30,693.51,603.98,788.62
40,768.22,612.93,993.77
50,827.61,606.32,1142.74
60,350.14,246.23,512.76
70,304.07,152.01,537.55
80,675.53,284.87,1358.22
90,450.16,136.28,1119.39
100,862.05,529.03,1351.09
110,1110.78,697.67,1629.87
120,1035.66,762.36,1425.7
130,935.09,521.18,1380.66
140,906.23,560.73,1313.56
150,703.38,386.68,1380.45
160,795.33,257.92,1536.16
170,1037.52,736.21,1350.18
180,909.5,542.59,1748
190,1111.68,577.3,2628.38
200,1732.56,1151.22,2401.15
210,1206.6,785.5,1792.16
220,1599.29,1032.56,2446.3
230,1938.98,1042.73,2774.52
240,532.66,143.29,2229.6
250,772.38,2.59,1668.2
260,535.64,0,1071.69
270,325.11,84.71,760.28
280,690.31,350.57,1071.88
290,545.09,281.6,962.97
300,408.82,110.65,862.19
310,351.73,138.84,636.69
320,336.78,115.4,587.15
330,260.02,16.38,572.89
340,299.46,27.14,981.17
350,647.81,0,1673.4
360,699.76,0,2189.33
370,810.78,3.43,2093.19
380,1269.38,0,2763.62
390,1128.63,82.34,2694.9
400,1731,315.48,3034.89
410,2102.11,904.12,3202.53
420,1443.91,0,3636.69
