Age,Type,CO2
0,Phytoplankton,359.2
1,Phytoplankton,249.6
1,Phytoplankton,284.4
2,Phytoplankton,276.2
2,Phytoplankton,309.1
2,Phytoplankton,346
3,Phytoplankton,299.8
3,Phytoplankton,341.9
4,Phytoplankton,353.2
4,Phytoplankton,365.8
5,Phytoplankton,354.8
6,Phytoplankton,378.9
6,Phytoplankton,376.7
6,Phytoplankton,381.1
7,Phytoplankton,354.3
8,Phytoplankton,371.2
8,Phytoplankton,321.7
8,Phytoplankton,362.2
9,Phytoplankton,353.8
9,Phytoplankton,365.7
11,Phytoplankton,373.2
11,Phytoplankton,400
11,Phytoplankton,416.5
11,Phytoplankton,317.8
11,Phytoplankton,317.8
12,Phytoplankton,404.1
13,Phytoplankton,393.8
13,Phytoplankton,407.7
13,Phytoplankton,316.9
14,Phytoplankton,460.2
14,Phytoplankton,421.1
14,Phytoplankton,382
14,Phytoplankton,517.3
15,Phytoplankton,469.6
15,Phytoplankton,475.1
15,Phytoplankton,368.4
15,Phytoplankton,381.2
15,Phytoplankton,365.9
15,Phytoplankton,434.3
15,Phytoplankton,446.8
15,Phytoplankton,391.6
15,Phytoplankton,383.5
15,Phytoplankton,478.7
15,Phytoplankton,441.7
15,Phytoplankton,469.9
15,Phytoplankton,420.8
16,Phytoplankton,403.8
16,Phytoplankton,565.7
16,Phytoplankton,556.2
16,Phytoplankton,423.8
16,Phytoplankton,452.2
16,Phytoplankton,478.5
16,Phytoplankton,549
16,Phytoplankton,417
17,Phytoplankton,485.1
17,Phytoplankton,461
17,Phytoplankton,429
18,Phytoplankton,486
18,Phytoplankton,449.2
18,Phytoplankton,405.6
18,Phytoplankton,403.4
18,Phytoplankton,384.8
19,Phytoplankton,437.7
19,Phytoplankton,395.9
19,Phytoplankton,477.4
19,Phytoplankton,494.3
19,Phytoplankton,625.2
19,Phytoplankton,633
20,Phytoplankton,572.4
20,Phytoplankton,629.2
20,Phytoplankton,606.5
21,Phytoplankton,621
22,Phytoplankton,657.6
24,Phytoplankton,581
24,Phytoplankton,649.8
25,Phytoplankton,658.3
25,Phytoplankton,649.5
27,Phytoplankton,767.1
27,Phytoplankton,697.3
28,Phytoplankton,726.2
30,Phytoplankton,835.3
30,Phytoplankton,959.1
30,Phytoplankton,939.2
31,Phytoplankton,617.6
31,Phytoplankton,811.5
31,Phytoplankton,841.3
31,Phytoplankton,783.7
32,Phytoplankton,769.1
32,Phytoplankton,824.8
51,Phytoplankton,1057.4
51,Phytoplankton,872.2
52,Phytoplankton,809.3
52,Phytoplankton,767.8
52,Phytoplankton,907.5
52,Phytoplankton,966.2
53,Phytoplankton,966.2
53,Phytoplankton,872.2
53,Phytoplankton,889.5
54,Phytoplankton,1472.3
54,Phytoplankton,954.3
54,Phytoplankton,881.4
54,Phytoplankton,1426.6
54,Phytoplankton,1383.7
55,Phytoplankton,1343.4
55,Phytoplankton,1383.7
55,Phytoplankton,898.6
55,Phytoplankton,1089.4
56,Phytoplankton,1343.4
56,Phytoplankton,1383.7
78,Phytoplankton,991.7
81,Phytoplankton,609.6
85,Phytoplankton,663.7
86,Phytoplankton,610.4
88,Phytoplankton,764.4
90,Phytoplankton,875.8
91,Phytoplankton,704.6
94,Phytoplankton,511.5
94,Phytoplankton,721.1
94,Phytoplankton,906.4
94,Phytoplankton,1059.4
94,Phytoplankton,893
94,Phytoplankton,1016.3
94,Phytoplankton,863.8
94,Phytoplankton,1025.9
94,Phytoplankton,1076.5
94,Phytoplankton,1087.1
94,Phytoplankton,1203
94,Phytoplankton,696.1
94,Phytoplankton,616.6
94,Phytoplankton,639.9
94,Phytoplankton,634.4
94,Phytoplankton,801
95,Phytoplankton,792
95,Phytoplankton,1156.7
95,Phytoplankton,1683
95,Phytoplankton,1490.4
95,Phytoplankton,1062.8
95,Phytoplankton,903.4
95,Phytoplankton,887.1
95,Phytoplankton,899.2
95,Phytoplankton,830.9
95,Phytoplankton,1021.5
95,Phytoplankton,1069.9
95,Phytoplankton,863.1
95,Phytoplankton,989.2
95,Phytoplankton,875.3
96,Phytoplankton,1239.5
96,Phytoplankton,1114.3
96,Phytoplankton,716.9
96,Phytoplankton,680.9
96,Phytoplankton,836.5
96,Phytoplankton,1427.8
96,Phytoplankton,1337.4
96,Phytoplankton,1425.2
96,Phytoplankton,923.2
96,Phytoplankton,1130
96,Phytoplankton,1024.1
96,Phytoplankton,1224.8
96,Phytoplankton,1021.5
96,Phytoplankton,950.6
96,Phytoplankton,851
96,Phytoplankton,1173.5
97,Phytoplankton,1134.9
97,Phytoplankton,1186
97,Phytoplankton,907.1
97,Phytoplankton,1099.9
97,Phytoplankton,1457
97,Phytoplankton,911.3
97,Phytoplankton,924.1
97,Phytoplankton,1112.4
97,Phytoplankton,1193.6
97,Phytoplankton,1037.1
97,Phytoplankton,902.3
97,Phytoplankton,902.3
97,Phytoplankton,935.2
99,Phytoplankton,762.5
102,Phytoplankton,1132.5
102,Phytoplankton,935.3
111,Phytoplankton,1127.3
115,Phytoplankton,908.3
115,Phytoplankton,997.4
116,Phytoplankton,1289.7
116,Phytoplankton,1280.2
116,Phytoplankton,1188.8
117,Phytoplankton,838.6
117,Phytoplankton,1227.9
117,Phytoplankton,1340
118,Phytoplankton,1231.6
120,Phytoplankton,1047.8
122,Phytoplankton,895.8
122,Phytoplankton,836.1
122,Phytoplankton,975.2
124,Phytoplankton,960.3
140,Phytoplankton,822.5
140,Phytoplankton,867.7
144,Phytoplankton,643.2
145,Phytoplankton,1062.4
145,Phytoplankton,779.3
145,Phytoplankton,732.7
145,Phytoplankton,609
145,Phytoplankton,586.2
146,Phytoplankton,541.6
146,Phytoplankton,693.1
146,Phytoplankton,674.4
147,Phytoplankton,724.7
148,Phytoplankton,785.1
148,Phytoplankton,588.6
148,Phytoplankton,617.9
149,Phytoplankton,747.1
149,Phytoplankton,662.8
150,Phytoplankton,727.2
150,Phytoplankton,788.2
150,Phytoplankton,601.3
155,Phytoplankton,675.5
155,Phytoplankton,707.3
155,Phytoplankton,746.7
155,Phytoplankton,661.8
155,Phytoplankton,785
155,Phytoplankton,654.1
155,Phytoplankton,689.5
155,Phytoplankton,786.1
155,Phytoplankton,536.9
155,Phytoplankton,1019.3
155,Phytoplankton,936.3
159,Phytoplankton,815.1
159,Phytoplankton,759.3
177,Phytoplankton,939
177,Phytoplankton,987.6
178,Phytoplankton,680.5
178,Phytoplankton,1031.3
178,Phytoplankton,975.9
178,Phytoplankton,1022.2
178,Phytoplankton,807.6
178,Phytoplankton,666.8
178,Phytoplankton,694.7
179,Phytoplankton,966.4
179,Phytoplankton,1037.2
180,Phytoplankton,1013.8
180,Phytoplankton,957.1
181,Phytoplankton,983.7
181,Phytoplankton,995.5
182,Phytoplankton,795.9
182,Phytoplankton,979.8
184,Phytoplankton,645.9
200,Phytoplankton,870.5
205,Phytoplankton,1229.6
226,Phytoplankton,1038.8
226,Phytoplankton,1020.6
226,Phytoplankton,1590.4
237,Phytoplankton,741.4
242,Phytoplankton,683.3
246,Phytoplankton,1185.9
247,Phytoplankton,1055.7
247,Phytoplankton,1619.8
248,Phytoplankton,423.2
253,Phytoplankton,872.6
253,Phytoplankton,1085.2
256,Phytoplankton,694.9
262,Phytoplankton,573.9
262,Phytoplankton,462.5
