Age,Type,CO2
0.0013,phytoplankton,273
0.00199,phytoplankton,244.08
0.0029,phytoplankton,181.42
0.006,phytoplankton,287.81
0.0082,phytoplankton,270.26
0.0085,phytoplankton,145.71
0.0112,phytoplankton,252.48
0.0151,phytoplankton,137.83
0.016,phytoplankton,131.13
0.01659,phytoplankton,191.26
0.0174,phytoplankton,122.88
0.0178,phytoplankton,67.06
0.0178,phytoplankton,251.68
0.0191,phytoplankton,104.45
0.0196,phytoplankton,248.17
0.0255,phytoplankton,267.74
0.0267,phytoplankton,117.65
0.02999,phytoplankton,187.05
0.0339,phytoplankton,112.82
0.0349,phytoplankton,227.02
0.03712,phytoplankton,177.45
0.03759,phytoplankton,176.2
0.03955,phytoplankton,228.83
0.04084,phytoplankton,150.87
0.0462,phytoplankton,61.71
0.0474,phytoplankton,239.45
0.0474,phytoplankton,240.84
0.0491,phytoplankton,196.94
0.0573,phytoplankton,136.34
0.0592,phytoplankton,239.8
0.0601,phytoplankton,116.32
0.06148,phytoplankton,202.95
0.0618,phytoplankton,121.47
0.0647,phytoplankton,226.26
0.0659,phytoplankton,150
0.0693,phytoplankton,241.46
0.0693,phytoplankton,253.3
0.07469,phytoplankton,272.53
0.0785,phytoplankton,282.67
0.08,phytoplankton,274.4
0.0802,phytoplankton,149.11
0.0815,phytoplankton,145.16
0.084,phytoplankton,246.55
0.087,phytoplankton,263.86
0.08939,phytoplankton,263.35
0.0939,phytoplankton,156.05
0.09557,phytoplankton,194.11
0.096,phytoplankton,167.41
0.09965,phytoplankton,201.22
0.1,phytoplankton,286.66
0.10005,phytoplankton,199.79
0.10046,phytoplankton,202.99
0.10137,phytoplankton,255.72
0.11132,phytoplankton,224.31
0.1126,phytoplankton,270.9
0.11357,phytoplankton,165.94
0.11589,phytoplankton,248.14
0.1183,phytoplankton,270.75
0.11906,phytoplankton,258.08
0.12323,phytoplankton,183.28
0.12377,phytoplankton,254.2
0.1238,phytoplankton,293.64
0.12478,phytoplankton,202.04
0.1273,phytoplankton,308.92
0.12748,phytoplankton,278.75
0.12806,phytoplankton,183.51
0.13191,phytoplankton,206.8
0.1325,phytoplankton,244.32
0.13322,phytoplankton,302.82
0.1343,phytoplankton,262.74
0.13557,phytoplankton,202.76
0.13684,phytoplankton,160.53
0.13751,phytoplankton,187.94
0.13859,phytoplankton,168.9
0.13897,phytoplankton,202.01
0.14327,phytoplankton,207.09
0.14669,phytoplankton,191.39
0.1471,phytoplankton,269.32
0.15004,phytoplankton,216.45
0.1502,phytoplankton,245.08
0.15369,phytoplankton,188.28
0.15731,phytoplankton,161.77
0.15995,phytoplankton,174.39
0.1603,phytoplankton,283.54
0.1603,phytoplankton,281.08
0.16554,phytoplankton,241.34
0.16976,phytoplankton,196.32
0.171,phytoplankton,277.83
0.17994,phytoplankton,175.72
0.1817,phytoplankton,267.92
0.1817,phytoplankton,273.1
0.18239,phytoplankton,193.54
0.1837,phytoplankton,258.01
0.18371,phytoplankton,202.06
0.18437,phytoplankton,165.31
0.19001,phytoplankton,216.35
0.19168,phytoplankton,247.06
0.1962,phytoplankton,307.22
0.19807,phytoplankton,238.25
0.2,phytoplankton,275.72
0.20091,phytoplankton,176.87
0.21,phytoplankton,298.78
0.21157,phytoplankton,235.41
0.21529,phytoplankton,211.5
0.21671,phytoplankton,217.89
0.21803,phytoplankton,207.19
