Age,Type,CO2
0.0039,d11B,266.1214441
0.02,alkenones,317.593947
0.028,alkenones,304.9965414
0.0335,alkenones,321.8192636
0.0412,alkenones,308.282001
0.0583,alkenones,311.6404773
0.0736,alkenones,337.5297771
0.0893,alkenones,334.1562941
0.1054,alkenones,332.059068
0.1132,alkenones,336.3267
0.1336,alkenones,335.908484
0.1465,alkenones,314.6621919
0.1562,alkenones,316.3374695
0.1666,alkenones,330.0112968
0.1999,alkenones,288.8761688
0.25345,alkenones,245.7685943
0.31,alkenones,319.0816949
0.431,alkenones,284.556674
0.4563,alkenones,255.0799027
0.4563,d11B,293.3825098
0.5387,d11B,162.2265625
0.5418,d11B,281.4776001
0.5753,alkenones,301.761627
0.5963,d11B,162.8191681
0.6204,d11B,169.2493744
0.7579,d11B,174.843338
0.8194,d11B,152.2001038
0.8588,d11B,168.4521027
0.9,alkenones,242.5870259
0.9,d11B,277.8256078
0.9287,alkenones,290.8347906
0.9445,d11B,183.2925568
0.95,paleosols,244.1667459
0.95,stomata,278
1,alkenones,252.3198742
1.046,alkenones,301.4326512
1.07,paleosols,213.8477804
1.16,paleosols,334.6664831
1.191,alkenones,322.3569631
1.2,alkenones,266.4984014
1.206,alkenones,311.2073515
1.2188,alkenones,317.3399349
1.23,paleosols,193.4878925
1.23,paleosols,216.5280491
1.2322,alkenones,322.3243459
1.25,alkenones,291.093009
1.272,alkenones,308.7778495
1.28,paleosols,140.8746811
1.2846,alkenones,298.3620354
1.3,alkenones,270.6405048
1.31,paleosols,156.5127994
1.31,paleosols,196.3505804
1.3512,alkenones,325.9442214
1.36,paleosols,194.3876881
1.39,paleosols,191.6601861
1.39,paleosols,191.7313563
1.44,paleosols,193.6777745
1.48,paleosols,210.0865855
1.48,paleosols,238.9450887
1.5,alkenones,276.6621054
1.5,d11B,278.5895622
1.52,paleosols,302.6087242
1.56,paleosols,229.9756328
1.56,paleosols,281.7280189
1.64,paleosols,207.4455288
1.64,paleosols,246.500407
1.6407,alkenones,297.857696
1.7295,alkenones,312.1245278
1.73,paleosols,238.7026774
1.7519,alkenones,270.3328175
1.82,paleosols,229.8261113
1.8204,d11B,249.6618805
1.85,stomata,280
1.94,paleosols,307.051139
1.94,paleosols,251.6516979
1.965,alkenones,309.0530879
1.975132,d11B,218.6
2.026542,d11B,261.7
2.078094545,d11B,245.7
2.0926,alkenones,328.638958
2.1,stomata,357.5
2.109,alkenones,254.2958074
2.109,d11B,274.330901
2.12,paleosols,299.1399878
2.12,paleosols,299.7618417
2.14,paleosols,277.5384988
2.161008,d11B,221.2
2.166038,d11B,382.6
2.1915,alkenones,330.576434
2.2,paleosols,337.6221217
2.201944,d11B,385.8
2.26,paleosols,341.8005188
2.26,paleosols,386.9812201
2.2968,alkenones,337.3939133
2.304672,d11B,237.6
2.3092,alkenones,273.426727
2.33782251,d11B,317.4200281
2.34,paleosols,405.3060427
2.346710693,d11B,317.5596158
2.347234375,d11B,369.1026554
2.352717773,d11B,305.9419215
2.362218994,d11B,449.9007822
2.372198242,d11B,414.5089766
2.381290283,d11B,371.2608903
2.389315918,d11B,377.0450479
2.402,alkenones,343.625693
2.410920166,d11B,277.5003644
2.417172607,d11B,441.6790681
2.424888916,d11B,332.1029862
2.451231689,d11B,320.225227
2.474494141,d11B,340.3263223
2.498358643,d11B,422.7885927
2.50040332,d11B,356.6276946
2.501402588,d11B,362.0346185
2.502936,d11B,367.4
2.521932373,d11B,245.9695918
2.545154541,d11B,335.4510949
2.558577,d11B,309.7
2.56,paleosols,385.0266367
2.56,paleosols,399.7627498
2.561898438,d11B,299.507147
2.579425049,d11B,329.8114967
2.587,alkenones,333.4519055
2.592,d11B,258.4808363
2.592,alkenones,267.3978295
2.594836426,d11B,361.6679281
2.6,stomata,285
2.600862,d11B,202.6
2.6043,alkenones,305.0630181
2.615069336,d11B,278.5210833
2.624496094,d11B,304.9291333
2.626144531,d11B,401.9252656
2.630914795,d11B,244.9213151
2.648257813,d11B,281.8519558
2.65,stomata,279
2.664697021,d11B,301.6145925
2.673016113,d11B,262.6656408
2.680359375,d11B,322.7703735
2.685473,d11B,193.5
2.686560303,d11B,283.7790601
2.695158203,d11B,275.6034836
2.700043457,d11B,234.409752
2.702225,d11B,357.5
2.703202637,d11B,319.0216347
2.70551,d11B,314
2.707214111,d11B,262.142357
2.708112,d11B,238.3
2.710464,d11B,333.8
2.718,alkenones,316.5116554
2.736,d11B,273.8099365
2.745515625,d11B,338.7553345
2.750568604,d11B,376.3038293
2.751482666,d11B,320.9685534
2.751564,d11B,299.7
2.764187012,d11B,358.1644791
2.77286,d11B,403.5
2.775,stomata,276
2.777480957,d11B,279.0777431
2.778718,d11B,418.3
2.781414,d11B,315.8
2.785,d11B,282.9269204
2.785,alkenones,298.8355548
2.795485,d11B,314.4
2.798543701,d11B,281.2887987
2.80996,alkenones,282.23967
2.8217,alkenones,303.3691394
2.828275879,d11B,352.0529237
2.83017627,d11B,317.1160558
2.831683838,d11B,361.3950973
2.838900635,d11B,387.6833852
2.849182373,d11B,307.7119006
2.8515,alkenones,293.9200246
2.858321045,d11B,444.8918165
2.8616,alkenones,287.6169316
2.8872,d11B,481.2565002
2.889523,d11B,398.9614991
2.89,alkenones,323.2790624
2.9,stomata,280
2.901633333,alkenones,269.9427938
2.912384277,d11B,370.5655217
2.91737,alkenones,278.4004643
2.918768,d11B,241.1
2.92355957,d11B,377.1675671
2.9267,alkenones,269.7334216
2.936,alkenones,332.8762331
2.94,alkenones,307.315492
2.941578125,d11B,337.224986
2.94364,alkenones,307.3222955
2.950492676,d11B,357.8048632
2.951161377,d11B,419.3110038
2.959599365,d11B,345.5310594
2.978066406,d11B,328.2155019
2.9807,alkenones,258.1644708
2.985,alkenones,371.6402503
2.985,d11B,401.9844428
3.000572,d11B,353.8
3.002188889,alkenones,255.4098242
3.002813721,d11B,368.9583795
3.010996094,d11B,356.951009
3.016177778,alkenones,264.96751
3.027581543,d11B,380.9188878
3.03414,alkenones,262.1656383
3.04266333,d11B,419.482085
3.0499,d11B,427.9407648
3.050016113,d11B,418.0218159
3.059026123,d11B,361.3153919
3.062960938,d11B,413.098099
3.066538086,d11B,379.8335802
3.067,alkenones,352.9519628
3.069144444,alkenones,283.9881941
3.073916,d11B,264.5
3.081375,d11B,410.6
3.082,alkenones,338.0524139
3.087166667,alkenones,254.1847871
3.09118335,d11B,334.1967747
3.095,stomata,357
3.0963,alkenones,275.0990079
3.100177002,d11B,319.3076752
3.10491,d11B,248.9
3.106122222,alkenones,271.2610935
3.114238281,d11B,391.5537762
3.1173,alkenones,344.2785413
3.13044,alkenones,271.5924793
3.1313,alkenones,317.7473047
3.133154785,d11B,345.2533485
3.143166016,d11B,333.8739095
3.151899902,d11B,403.1755043
3.155922,d11B,232.7
3.157937012,d11B,339.6462652
3.160107422,d11B,525.2573366
3.160566667,alkenones,277.8068909
3.171554932,d11B,451.6516854
3.172,alkenones,334.9296272
3.172,d11B,336.1192159
3.179787109,d11B,381.0730198
3.1814,alkenones,259.3395586
3.189189941,d11B,283.444613
3.1899,alkenones,274.4493008
3.198729248,d11B,330.9028056
3.199993333,alkenones,272.1758847
3.209233333,alkenones,267.0425402
3.209375244,d11B,326.3790071
3.2145,d11B,423.4779358
3.21857,d11B,241.9
3.220122222,alkenones,265.0495977
3.224604492,d11B,375.8476571
3.229,alkenones,340.8839229
3.239165,d11B,330.4
3.239885986,d11B,423.2404205
3.242925293,d11B,354.4572041
3.24333,alkenones,273.1645565
3.2449021,d11B,441.1839348
3.245811768,d11B,316.3011126
3.259145,d11B,251.5
3.259577881,d11B,347.8290469
3.25975,alkenones,270.026121
3.2671,alkenones,261.7614644
3.270168457,d11B,364.7508124
3.275255556,alkenones,257.7837042
3.280600586,d11B,313.3691783
3.28675,alkenones,275.822951
3.321,alkenones,335.873493
3.321595,d11B,273.6
3.364,alkenones,320.9652318
3.4,stomata,330
3.403243,d11B,254.8
3.40673,d11B,250.5
3.457,alkenones,339.2498038
3.471466,d11B,291.6
3.4959,d11B,366.2552519
3.51,alkenones,393.1181751
3.522,alkenones,345.7221112
3.542526,d11B,329.3
3.59077,d11B,282.2
3.6249,alkenones,362.006108
3.6594,d11B,356.7637329
3.673,alkenones,345.8968818
3.716058,d11B,309.8
3.792177,d11B,287.5
3.8462,alkenones,356.9372018
3.8485,alkenones,326.6328712
3.870131,d11B,407.9
3.887,d11B,506.9433289
3.89,stomata,355.2634375
3.9335,alkenones,337.7116154
3.96,paleosols,80
3.961068,d11B,294.5
3.9855,alkenones,333.7977472
4,stomata,362.5
4.028,alkenones,329.4110483
4.036184,d11B,334.4
4.0995,d11B,379.7651062
