Age,Type,CO2
0.0013,phytoplankton,273
0.00166,d11B,261.26
0.00199,phytoplankton,244.08
0.0029,phytoplankton,181.42
0.0031,d11B,259.37
0.0036,d11B,262.97
0.0036,d11B,268.08
0.00391,d11B,273.9
0.00463,d11B,263.06
0.00502,d11B,281.14
0.00598,d11B,263.8
0.006,phytoplankton,287.81
0.00782,d11B,258.56
0.00782,d11B,268.58
0.0082,phytoplankton,270.26
0.0085,phytoplankton,145.71
0.00852,d11B,240.18
0.00949,d11B,266.08
0.01032,d11B,240.79
0.01054,d11B,262.31
0.0112,phytoplankton,252.48
0.01165,d11B,256.26
0.01255,d11B,206.34
0.01401,d11B,234.32
0.01457,d11B,220
0.0146,d11B,241.15
0.0146,d11B,231.57
0.01507,d11B,231.41
0.01507,d11B,220.22
0.0151,phytoplankton,137.83
0.016,phytoplankton,131.13
0.01659,phytoplankton,191.26
0.01659,d11B,193.91
0.017,d11B,185.27
0.01726,d11B,223.23
0.0174,phytoplankton,122.88
0.0178,phytoplankton,67.06
0.0178,phytoplankton,251.68
0.01816,d11B,194.11
0.01906,d11B,209.4
0.0191,phytoplankton,104.45
0.01919,d11B,166.36
0.0196,phytoplankton,248.17
0.0204,d11B,178.61
0.02086,d11B,216.74
0.02112,d11B,201.25
0.02261,d11B,203.9
0.02386,d11B,225.22
0.02438,d11B,183.92
0.0255,phytoplankton,267.74
0.02551,d11B,175.55
0.02551,d11B,170.91
0.0267,phytoplankton,117.65
0.02737,d11B,208.16
0.02999,phytoplankton,187.05
0.03088,d11B,253.37
0.0339,phytoplankton,112.82
0.0349,phytoplankton,227.02
0.03582,d11B,214.42
0.03712,phytoplankton,177.45
0.03759,phytoplankton,176.2
0.03955,phytoplankton,228.83
0.0408,d11B,213.12
0.04084,phytoplankton,150.87
0.0462,phytoplankton,61.71
0.04661,d11B,210.31
0.0474,phytoplankton,239.45
0.0474,phytoplankton,240.84
0.0491,phytoplankton,196.94
0.05214,d11B,200.68
0.0573,phytoplankton,136.34
0.0592,phytoplankton,239.8
0.0601,phytoplankton,116.32
0.06128,d11B,201.4
0.06148,phytoplankton,202.95
0.0618,phytoplankton,121.47
0.0647,phytoplankton,226.26
0.0659,phytoplankton,150
0.0693,phytoplankton,241.46
0.0693,phytoplankton,253.3
0.0706,d11B,242.31
0.07469,phytoplankton,272.53
0.0773,d11B,236.93
0.0785,phytoplankton,282.67
0.08,phytoplankton,274.4
0.0802,phytoplankton,149.11
0.0815,phytoplankton,145.16
0.084,phytoplankton,246.55
0.08433,d11B,238.18
0.087,phytoplankton,263.86
0.08911,d11B,263.21
0.08939,phytoplankton,263.35
0.0939,phytoplankton,156.05
0.09557,phytoplankton,194.11
0.096,phytoplankton,167.41
0.09965,phytoplankton,201.22
0.1,phytoplankton,286.66
0.10005,phytoplankton,199.79
0.10036,d11B,272.11
0.10046,phytoplankton,202.99
0.10137,phytoplankton,255.72
0.10612,d11B,250.38
0.11132,phytoplankton,224.31
0.11132,d11B,276.43
0.1126,phytoplankton,270.9
0.11357,phytoplankton,165.94
0.1136,d11B,259.73
0.11589,phytoplankton,248.14
0.11682,d11B,305.46
0.1183,phytoplankton,270.75
0.11881,d11B,320.92
0.11906,phytoplankton,258.08
0.11906,d11B,297.43
0.12179,d11B,331.35
0.1232,d11B,302.47
0.12323,phytoplankton,183.28
0.12377,phytoplankton,254.2
0.12377,d11B,267.19
0.1238,phytoplankton,293.64
0.12437,d11B,281.18
0.12478,phytoplankton,202.04
0.1273,phytoplankton,308.92
0.12748,phytoplankton,278.75
0.12748,d11B,271.51
0.12806,phytoplankton,183.51
0.1281,d11B,270.44
0.13086,d11B,281.5
0.13191,phytoplankton,206.8
0.13191,d11B,248.66
0.1325,phytoplankton,244.32
0.13322,phytoplankton,302.82
0.13322,d11B,236.46
0.134,d11B,210.93
0.1343,phytoplankton,262.74
0.13557,phytoplankton,202.76
0.13557,d11B,208.72
0.1368,d11B,197.24
0.13684,phytoplankton,160.53
0.13751,phytoplankton,187.94
0.13859,phytoplankton,168.9
0.1386,d11B,177
0.13897,phytoplankton,202.01
0.13897,d11B,208.61
0.14327,phytoplankton,207.09
0.14669,phytoplankton,191.39
0.14669,d11B,216.63
0.1471,phytoplankton,269.32
0.15004,phytoplankton,216.45
0.15004,d11B,209.79
0.1502,phytoplankton,245.08
0.15369,phytoplankton,188.28
0.15731,phytoplankton,161.77
0.15995,phytoplankton,174.39
0.1603,phytoplankton,283.54
0.1603,phytoplankton,281.08
0.16554,phytoplankton,241.34
0.16976,phytoplankton,196.32
0.16976,d11B,209.58
0.171,phytoplankton,277.83
0.17994,phytoplankton,175.72
0.17994,d11B,206.54
0.1817,phytoplankton,267.92
0.1817,phytoplankton,273.1
0.18239,phytoplankton,193.54
0.1837,phytoplankton,258.01
0.18371,phytoplankton,202.06
0.18437,phytoplankton,165.31
0.18437,d11B,214.37
0.19001,phytoplankton,216.35
0.19001,d11B,223.75
0.19168,phytoplankton,247.06
0.19168,d11B,223.81
0.1962,phytoplankton,307.22
0.19807,phytoplankton,238.25
0.19807,d11B,246.23
0.2,phytoplankton,275.72
0.20091,phytoplankton,176.87
0.21,phytoplankton,298.78
0.21157,phytoplankton,235.41
0.21157,d11B,274.42
0.21529,phytoplankton,211.5
0.21671,phytoplankton,217.89
0.21803,phytoplankton,207.19
0.22044,phytoplankton,186.75
0.22044,d11B,261.03
0.22366,phytoplankton,229.08
0.22366,d11B,259.32
0.2271,phytoplankton,216.34
0.2271,d11B,232.53
0.22853,phytoplankton,146.23
0.23576,phytoplankton,276.83
0.23576,d11B,259.56
0.23948,phytoplankton,237.79
0.23948,d11B,242.21
0.241,phytoplankton,188.38
0.2429,d11B,274.68
0.24389,phytoplankton,196.13
0.24718,phytoplankton,181.21
0.24718,d11B,259.76
0.25,phytoplankton,178.34
0.25007,phytoplankton,174.41
0.25007,d11B,224.97
0.25321,phytoplankton,184.71
0.25453,phytoplankton,183.76
0.25784,phytoplankton,177.31
0.25784,d11B,233.39
0.26091,phytoplankton,150.21
0.26902,phytoplankton,182.23
0.29274,phytoplankton,183.67
0.30197,phytoplankton,246.04
0.30752,phytoplankton,147.91
0.30856,phytoplankton,214.58
0.31,phytoplankton,211.47
0.3291,d11B,297.4
0.33469,phytoplankton,366.36
0.33758,phytoplankton,163.44
0.34331,phytoplankton,191.26
0.34577,phytoplankton,199.35
0.34838,phytoplankton,146.3
0.35786,phytoplankton,224.23
0.3585,d11B,211.61
0.36513,phytoplankton,231.38
0.3669,d11B,223.42
0.37457,phytoplankton,194.16
0.37638,phytoplankton,148.94
0.3864,d11B,250.44
0.38935,phytoplankton,235.27
0.39935,phytoplankton,243.31
0.40307,phytoplankton,252.09
0.40523,phytoplankton,208.43
0.4091,d11B,297.13
0.41006,phytoplankton,253.8
0.41433,phytoplankton,281.67
0.41528,phytoplankton,158.85
0.4188,d11B,274.74
0.431,phytoplankton,178.55
0.44763,phytoplankton,200.08
0.44877,phytoplankton,250.9
0.45,phytoplankton,291.85
0.45424,phytoplankton,179.96
0.46,phytoplankton,187.11
0.48527,phytoplankton,165.31
0.5416,d11B,243.84
0.56,d11B,199.53
0.5753,phytoplankton,187.51
0.61627,phytoplankton,166.37
0.6163,d11B,249.38
0.64308,phytoplankton,167.17
0.64506,phytoplankton,233.83
0.651,d11B,174.19
0.6621,d11B,198.55
0.675,d11B,216.34
0.68,phytoplankton,300.17
0.70217,phytoplankton,191.15
0.7022,d11B,252.73
0.7035,d11B,263.11
0.70744,phytoplankton,158.67
0.72015,phytoplankton,221.82
0.72121,phytoplankton,156.51
0.731,d11B,223.6
0.7524,d11B,208.65
0.77692,phytoplankton,190.21
0.78946,phytoplankton,164.65
0.82,phytoplankton,272.84
0.82386,phytoplankton,304.72
0.85515,phytoplankton,210.41
0.86603,paleosols,275.51
0.8919,d11B,201.82
0.9,phytoplankton,144.15
0.92667,phytoplankton,249.86
0.9287,phytoplankton,182.13
0.93047,d11B,246.73
0.93638,paleosols,303.02
0.9404,paleosols,216.85
0.95,d11B,281.42
0.9528,d11B,304.42
0.95471,paleosols,271.3
0.95673,paleosols,257.24
0.99819,phytoplankton,288.71
1,phytoplankton,150.64
1.01607,paleosols,301.68
1.01869,paleosols,225.04
1.02393,paleosols,275.91
1.02787,paleosols,316.92
1.0294,paleosols,273.66
1.046,phytoplankton,187.28
1.05183,phytoplankton,234.54
1.05905,paleosols,315.04
1.06745,paleosols,245.49
1.07165,paleosols,242.54
1.0728,d11B,293.02
1.0789,d11B,257.86
1.08,phytoplankton,269.12
1.08726,d11B,232.86
1.08869,d11B,257.79
1.09003,d11B,223.46
1.09267,d11B,242.14
1.09471,d11B,251.16
1.09946,d11B,320.95
1.10242,d11B,301.81
1.10316,d11B,286.05
1.1062,d11B,246.55
1.10782,d11B,262.51
1.1103,d11B,284.02
1.1128,d11B,246.21
1.11526,d11B,227.64
1.11786,d11B,215.33
1.12036,d11B,248.31
1.12309,d11B,205.25
1.12335,phytoplankton,209.52
1.12606,d11B,246.43
1.12781,d11B,244.73
1.13097,d11B,249.59
1.13657,d11B,291.67
1.14003,d11B,305.43
1.14323,d11B,278.14
1.14533,d11B,295.74
1.1489,d11B,310.44
1.15094,d11B,260.5
1.15409,d11B,248.05
1.15777,d11B,299.72
1.16073,d11B,307.68
1.16285,d11B,275.14
1.16807,paleosols,211.68
1.1683,d11B,265.24
1.16986,d11B,283.63
1.17556,paleosols,236.17
1.17757,d11B,273.2
1.17922,phytoplankton,274.65
1.17966,d11B,263.28
1.18175,d11B,233.36
1.18406,d11B,226.28
1.18597,d11B,257.13
1.18807,d11B,265.36
1.1904,phytoplankton,258.19
1.191,phytoplankton,219.91
1.19131,d11B,215.8
1.1924,d11B,212.81
1.19418,paleosols,333.81
1.19515,d11B,208.27
1.2,phytoplankton,212.01
1.20326,d11B,195.5
1.206,phytoplankton,194.71
1.20676,d11B,219.15
1.20999,d11B,238.88
1.2125,d11B,226.19
1.21448,d11B,287.94
1.21642,d11B,272.15
1.21854,d11B,298.36
1.2188,phytoplankton,204.3
1.21945,phytoplankton,317.63
1.22418,d11B,255.14
1.22717,d11B,271.52
1.23072,d11B,312.45
1.2322,phytoplankton,216.08
1.2333,d11B,247
1.2339,d11B,295.82
