Age,CO2,St.DEV,N
0,312.0087766,64.61800956,306
10,290.5406343,69.88697817,136
20,386.6418728,128.5822617,114
30,671.4676124,205.6536321,41
40,874.4849676,446.4078398,23
50,797.6778594,449.3821379,32
60,418.3148073,175.5452415,45
70,707.3750846,597.1184874,109
80,876.5055139,532.4110017,15
90,435.2069444,62.53254083,18
100,929.5105379,279.9775557,33
110,1173.665838,431.9832741,29
120,1137.34776,434.0370357,59
130,957.5741951,595.3863092,19
140,888.4521514,415.4976835,12
150,982.2013047,270.7174091,3
160,627.7884334,99.16715341,2
170,1052.653257,326.2166796,16
180,966.0714286,335.9310977,7
190,1045.95792,442.9686258,5
200,1766.193158,706.2327473,106
210,1207.559539,787.5843697,112
220,2108.889744,1192.883659,26
230,2055.188563,1212.58473,16
240,377.6666667,197.8896999,3
250,837.6,407.3834803,5
260,400,0,1
270,283.3888889,79.58291741,6
280,808.4502203,356.0362057,11
290,619.2910373,496.6880587,13
300,361.4736842,193.017311,57
310,431.3375,119.2498647,80
320,352.8333333,50.41990348,6
330,273.3333333,56.86240703,3
340,512.6666667,317.1519089,3
350,624,0,0
360,736,0,0
370,848.8,416.9481503,4
380,1120,0,1
390,1092,661.8519472,2
400,1800.75,679.8831701,2
410,2192,910.7535342,2
420,1560,169.7056275,2
