Time (Ma),CS6,CS4_5,CS3
750,1631.441674,2419.758742,5323
740,1607.460667,2372.450383,5168
730,1583.793549,2325.991329,5017
720,1560.436749,2280.367755,4870
710,1537.386732,2235.566038,4727
700,1514.639995,2191.572753,4588
690,1492.193069,2148.374669,4453
680,1470.042518,2105.958749,4322
670,1448.184941,2064.312147,4194
660,1426.616966,2023.422203,4070
650,1405.335256,1983.276446,3950
640,1384.336505,1943.862585,3833
630,1363.617441,1905.168511,3719
620,1343.17482,1867.182296,3608
610,1323.005434,1829.892186,3501
600,1303.106103,1793.2866,3396
590,1283.473678,1757.354133,3295
580,1264.105043,1722.083545,3196
570,1244.99711,1687.463767,3100
560,1226.146824,1653.483893,3007
550,1207.551158,1620.133182,2916
540,1189.207115,1587.401052,2828
530,1171.111728,1555.277082,2743
520,1153.262061,1523.751006,2660
510,1135.655203,1492.812714,2579
500,1118.288277,1462.452249,2501
490,1101.15843,1432.659803,2425
480,1084.262841,1403.425718,2351
470,1067.598715,1374.740483,2280
460,1051.163287,1346.594732,2210
450,1034.953818,1318.97924,2142
440,1018.967597,1291.884924,2077
430,1003.201941,1265.302843,2013
420,987.6541942,1239.224188,1951
410,972.3217266,1213.64029,1891
400,957.2019359,1188.54261,1832
390,942.292246,1163.922745,1776
380,927.5901071,1139.772417,1721
370,913.0929955,1116.083481,1667
360,898.7984133,1092.847915,1616
350,884.7038884,1070.057824,1565
340,870.806974,1047.705434,1517
330,857.1052485,1025.783096,1469
320,843.5963156,1004.283277,1423
310,830.2778034,983.1985638,1379
300,817.1473651,962.5216601,1335
290,804.2026779,942.2453838,1293
280,791.4414435,922.3626665,1253
270,778.8613876,902.8665513,1213
260,766.4602595,883.7501917,1175
250,754.2358323,865.00685,1138
240,742.1859026,846.6298953,1102
230,730.30829,828.6128027,1067
220,718.6008373,810.9491515,1033
210,707.0614101,793.6326236,1000
200,695.6878967,776.6570023,968
190,684.4782077,760.0161708,937
180,673.4302762,743.7041107,907
170,662.5420571,727.7149007,878
160,651.8115276,712.0427154,850
150,641.2366861,696.6818235,822
140,630.8155528,681.6265868,796
130,620.5461693,666.8714588,770
120,610.4265983,652.4109835,745
110,600.4549232,638.2397937,721
100,590.6292486,624.3526103,698
90,580.9476994,610.7442406,675
80,571.4084211,597.4095772,653
70,562.0095794,584.3435968,632
60,552.74936,571.5413589,611
50,543.6259686,558.9980049,591
40,534.6376305,546.7087562,572
30,525.7825908,534.6689139,553
20,517.0591136,522.8738571,535
10,508.4654825,511.3190418,517
0,500,500,500
