Time (Ma),d13C SG Filter,d13C RM 30 Ma,Sr,d34S
570,0.00,0.00,90.00,23.00
560,0.00,0.00,90.00,23.10
550,0.00,0.00,90.00,25.30
540,0.00,0.92,90.00,27.70
530,-0.11,-0.55,89.00,33.10
520,0.89,-0.40,89.00,32.70
510,1.00,-0.66,89.00,35.30
500,-0.22,0.05,89.00,36.10
490,-0.70,0.12,90.11,34.00
480,-0.49,-0.29,89.55,30.09
470,-0.33,-0.90,88.28,25.73
460,0.01,-0.13,81.47,24.84
450,0.57,0.74,78.94,24.62
440,0.93,1.70,79.76,27.81
430,1.45,2.44,83.49,27.67
420,1.67,2.46,86.31,26.29
410,1.56,1.99,85.85,22.65
400,1.51,1.44,79.18,15.73
390,1.56,1.29,78.76,20.84
380,1.54,1.34,81.12,23.91
370,1.68,1.68,81.68,20.36
360,1.85,2.38,83.75,19.51
350,2.06,2.79,79.92,19.48
340,2.05,1.59,78.07,17.18
330,2.02,1.31,78.84,14.08
320,1.96,1.56,81.43,15.36
310,2.12,1.92,82.78,14.01
300,2.28,2.37,80.69,12.16
290,2.43,2.39,76.52,12.81
280,2.73,3.32,71.88,12.61
270,2.82,2.75,70.69,14.20
260,2.86,2.23,71.80,16.23
250,2.82,1.94,76.44,20.44
240,2.92,2.09,78.32,22.92
230,2.73,2.62,76.67,18.21
220,2.36,2.93,76.76,18.91
210,2.02,1.87,79.35,18.32
200,1.89,1.61,77.58,17.85
190,1.71,1.39,73.65,14.88
180,1.50,1.52,72.01,19.41
170,1.40,1.54,71.66,17.88
160,1.58,1.80,68.88,15.95
150,1.87,1.92,70.45,16.50
140,2.02,1.70,73.54,17.24
130,2.02,1.77,74.63,17.10
120,2.07,1.94,73.31,16.25
110,2.17,2.10,73.77,15.77
100,2.12,1.92,74.49,17.81
90,2.15,1.95,73.79,18.73
80,2.03,1.94,75.57,18.30
70,1.71,1.56,77.71,18.78
60,1.45,1.05,77.98,18.29
50,1.28,0.97,77.54,19.33
40,1.10,0.79,77.72,22.20
30,0.86,0.89,80.08,21.80
20,0.64,0.90,85.15,21.84
10,0.50,0.58,89.09,22.06
0,1.31,1.31,90.78,21.66
