Time (Ma),d13C SG Filter,d13C RM 30 Ma
570,0,0
560,0,0
550,0,0
540,0,0.922165854
530,-0.11,-0.54647598
520,0.89,-0.39525537
510,1,-0.660485987
500,-0.22,0.048667232
490,-0.7,0.118129212
480,-0.49,-0.286838415
470,-0.33,-0.904563359
460,0.01,-0.129257874
450,0.57,0.736215369
440,0.93,1.695411862
430,1.45,2.438652658
420,1.67,2.455141501
410,1.56,1.990974004
400,1.51,1.444233022
390,1.56,1.28680768
380,1.54,1.342655703
370,1.68,1.677827471
360,1.85,2.38450622
350,2.06,2.788165604
340,2.05,1.591880601
330,2.02,1.307830534
320,1.96,1.564776267
310,2.12,1.9203915
300,2.28,2.365504036
290,2.43,2.39286551
280,2.73,3.316644143
270,2.82,2.750477428
260,2.86,2.23166892
250,2.82,1.940500824
240,2.92,2.090252251
230,2.73,2.616261497
220,2.36,2.92699115
210,2.02,1.866101695
200,1.89,1.609006211
190,1.71,1.387257143
180,1.5,1.519583333
170,1.4,1.541260504
160,1.58,1.799320388
150,1.87,1.920957447
140,2.02,1.700793651
130,2.02,1.774433962
120,2.07,1.942680412
110,2.17,2.09968254
100,2.12,1.915847458
90,2.15,1.952892562
80,2.03,1.937096774
70,1.71,1.557626904
60,1.45,1.048722844
50,1.28,0.971514132
40,1.1,0.788456965
30,0.86,0.885169309
20,0.64,0.896411266
10,0.5,0.578023997
0,1.31,1.31
