Age (Ma),SST (oC),St. DEV,GAT (oC)
540,,,22.1417581
535,,,21.8715317
530,,,22.380924
525,,,23.93595
520,39.1,0.954594155,24.3292601
515,39.40060124,0.975,24.9197958
510,38.92,1.043551628,25.5586932
505,39.2125,0.430842198,24.432509
500,45.67,1.8,23.1934631
495,48.016,3.208147405,22.6884877
490,46.25018999,2.43,23.6191266
485,43.2875,1.660986817,22.6527009
480,40.94071429,1.897159907,21.3370941
475,38.17230769,2.197298166,19.8320113
470,35.17461538,2.50281918,18.6012188
465,33.40545455,2.28849345,18.4530004
460,32.3005,2.772560521,17.6837753
455,28.07316832,4.061078596,15.5906988
450,28.07145161,2.833707652,15.1321234
445,26.57076923,4.784143332,9.26055529
440,28.93375,2.351669273,15.8683386
435,29.99159091,2.324681217,18.7175448
430,26.81887931,3.030230007,16.3702363
425,29.70863636,2.448018737,17.6938553
420,30.29125,1.869338596,19.1521134
415,28.45493841,1.98,20.9858257
410,25.77414971,2.1,19.2166607
405,23.26362991,2.2,20.715084
400,21.938125,2.296819132,17.7831126
395,23.00706897,1.880386794,17.8380782
390,26.08536594,2.904208876,19.4702581
385,24.75879032,2.866720535,21.761282
380,24.51678571,2.337817205,18.6892129
375,31.71766234,2.537355113,23.4799532
370,32.2621875,2.867233488,24.6864339
365,30.535,3.118082082,21.4332351
360,28.06482609,3.335137593,20.9232423
355,26.87273684,3.169089392,23.0457223
350,23.22319595,4.225474824,20.0313702
345,20.28375,3.012651922,19.1890022
340,13.67761466,5.392633256,18.9297236
335,13.58857884,2.852776746,18.8060614
330,14.31057496,2.681112542,18.7394028
325,13.52143407,2.740762269,16.5942858
320,9.98348325,2.487044646,12.2328421
315,11.98431048,1.987100726,12.6098641
310,13.43218994,1.679144089,13.6554756
305,12.97274097,1.431149556,13.487373
300,14.5394841,2.909524667,12.5822551
295,14.569,3.340868093,11.7001955
290,15.54029412,3.033571261,13.8903748
285,15.32,2.779921312,15.0176765
280,17.19325,2.488193245,13.8723195
275,16.19777778,2.75660547,15.1696702
270,18.31315789,2.190224469,16.9780658
265,18.07272727,2.728612597,17.0537228
260,22.0425,2.900470831,19.3366661
255,19.9731258,3.391190107,19.1224153
250,24.9085116,5.984334594,32.6887625
245,26.1461322,6.56249645,28.1129467
240,26.66920649,4.368029616,25.5682152
235,22.31484277,3.609065351,23.3895559
230,23.48877565,2.861805762,24.7126032
225,21.43833333,2.008782799,23.3686279
220,19.93,2.7,23.5091965
215,25.595,3.443047342,25.6572211
210,23.524,2.296440724,25.0040975
205,23.20375,0.741281468,21.559544
200,21.145,1.6,24.1469846
195,22.80048962,2.5,21.5131708
190,27.0953831,3,21.2578047
185,30.15945927,3.5,19.6472769
180,28.122497,4.253680934,23.0856639
175,21.4173735,2.316806539,23.7536656
170,21.89964282,3.789130012,21.8183037
165,22.24386706,3.992162926,21.328987
160,16.22319971,2.347914043,19.7815242
155,19.2163801,4.619329323,21.6680057
150,18.19362137,3.2,19.9966748
145,16.12738386,1.681452617,18.244436
140,18.02196588,2.211200473,19.2410367
135,16.19154847,1.229661173,19.250532
130,18.19056745,2.294132056,20.8567401
125,21.80034455,3.850058684,21.4682953
120,24.43154657,4.622999862,23.9205218
115,24.78913,3.517652105,19.955023
110,19.3998085,0.888782234,21.0622538
105,23.40312453,2.68610542,21.2706522
100,24.55848631,2.663444021,23.3122623
95,29.46482561,3.887294453,26.6293505
90,31.2748128,2.264070665,27.3756684
85,27.94187203,4.807985019,25.1689337
80,18.38757416,4.991587841,22.041626
75,18.27432013,4.315433824,21.2802538
70,16.29582168,2.569202016,21.1056401
65,17.8943446,2.449328628,24.1470031
60,19.10444221,3.635380155,22.5800297
55,23.24023594,5.138646593,24.3539958
50,22.65181567,3.845755128,25.1409294
45,19.66788076,3.138086085,22.2424571
40,17.30446701,3.668005238,21.4266484
35,21.71001926,3.381210118,19.3008148
30,19.23680864,4.959385456,17.9351214
25,17.95619875,3.39211404,18.9638969
20,16.9699845,3.130181986,17.3268091
15,15.74832856,1.467670364,18.468766
10,17.75620361,3.108801015,16.2516659
5,17.48782884,1.522281435,14.8181598
0,17.21575878,2.522563945,14.5
