Age (Ma),Mean temperature (°C)
498,45.82
497,42.97
496,47.37
495,50.19
494,48.88
493,46.87
485,43.88
484,42.7
482,39.55
480,40.61
477,37.41
474,38.49
472,35.55
468,33.79
466,32.74
462,34.71
460,30.56
459,31.14
454,27.13
453,27.86
452,27.93
451,27.79
450,28.37
449,29.04
448,28.25
447,29.78
446,25.28
445,26.14
444,24.71
443,26.14
442,26.87
441,29.21
439,29.17
438,30.6
437,31.26
436,30.14
435,31.28
434,28.52
433,30.22
432,26.02
431,28.04
430,26.92
429,25.73
428,28.02
427,28.36
426,30.69
425,32.54
424,27.84
423,30.03
422,29.39
421,31.8
416,32.46
415,33.54
414,35.55
412,34.42
410,29.86
409,28.9
407,26.7
406,27
405,30.55
403,33.18
400,24.54
398,23.73
396,24.42
395,24.92
394,26.26
393,25.03
392,25.03
391,26.08
390,27.53
389,28.26
388,24.31
387,24.89
386,25.15
385,34.44
384,31.7
383,25.59
382,24.35
381,25.77
379,24.59
376,31.11
375,30.89
374,31.64
373,33.52
372,31.22
371,32.65
370,32.95
369,34.73
368,33.1
367,31.74
366,30.77
365,30.03
364,29.85
363,29.4
362,31.35
361,27.57
360,28.43
359,27.03
358,27.17
357,27.94
356,28.04
355,29.36
353,27.34
352,23.67
351,23.92
350,23.04
349,21.14
348,20.33
347,20.12
345,20.6
339,18.54
336,14.87
335,13.02
334,13.04
333,13.47
332,13
331,14.04
330,13.76
329,15.13
328,15.84
327,15.36
326,12.33
325,13.5
324,12.97
323,12.37
322,11.18
321,10.54
319,9.37
318,9.42
317,11.77
316,10.94
315,11.28
314,13.5
313,16.29
312,15.43
311,20.51
310,21.73
308,22.18
307,21.25
306,22.13
305,20.49
304,18.1
303,20.51
302,22.45
301,20
300,17.2
299,17.47
298,12.85
297,14.23
296,15.71
295,16.91
294,12.32
293,14.15
292,16.4
291,14.13
290,15.66
288,17.42
285,15.45
282,14.54
279,17.41
277,15.06
276,14.38
275,16.54
274,17.61
272,17.63
271,17.3
270,18.42
268,20.59
266,17
265,18.5
264,19.3
262,18.79
261,23.25
260,20.56
259,22.93
258,23.11
257,22.86
256,21.29
255,20.54
254,20.21
253,18.57
252,23.84
251,29.94
250,29.8
249,29.28
248,25.98
247,23.87
246,22.98
245,28.53
244,31.39
242,26.11
240,27.97
238,25.25
237,22.27
236,24.72
235,19.57
234,22.64
232,24.17
231,23.52
230,23.46
226,21.44
222,19.93
217,24.21
214,26.29
212,24.41
211,23.53
210,22.81
209,21.46
207,20.98
206,20.04
205,19.65
204,18.35
203,15.61
202,12.08
201,15.24
200,20.81
199,19.66
198,16.44
197,22.88
195,21.16
193,21.67
192,20.44
191,20.42
190,21.42
189,21.14
188,22.54
187,21.91
186,18.85
185,20.02
184,18.38
183,18.88
182,22.23
181,24.08
180,26.58
179,25.41
178,26.51
177,24.46
176,29.07
175,26.2
174,23.05
173,21.07
172,25.71
171,23.02
170,20.05
169,25.34
168,24.88
167,25.16
166,22.66
165,23.52
164,19.43
162,16.76
161,19.4
160,21.8
159,20.07
158,20.51
157,19.12
156,24.39
154,20.44
153,19.29
150,19.3
145,17.85
142,17.25
141,18.06
140,17.8
139,19.39
138,16.94
137,16.29
136,18.17
135,18.56
134,20.69
133,22
132,21.3
131,21.25
130,23.4
129,25.24
128,17.87
127,20.5
126,20.84
125,20.74
124,20.87
123,21.42
122,21.49
121,20.22
120,21.66
119,22.68
118,24.33
117,24.28
116,22.86
112,19.45
109,20.6
108,19.91
107,20.9
106,22.08
105,22.89
104,23.54
103,24.01
102,24.1
101,24.66
100,25.44
99,24.77
98,27.86
97,28.37
96,24.98
95,30.03
94,31.66
93,31.75
92,31.93
91,31.97
90,30.45
89,29.71
88,29.79
87,28.72
86,29.91
84,22.07
82,27.63
80,16.7
79,18.06
78,19.47
77,19.08
76,20.26
75,16.45
74,16.95
73,17.3
72,16.25
71,15.89
70,15.96
69,15.82
68,17.92
67,17.09
66,18.81
63,15.62
62,15.81
61,17.49
60,17.15
59,20.06
58,18.34
57,18.33
56,20.06
55,26.45
54,20.43
53,22.38
52,22.07
51,20.88
50,22.98
49,23.75
48,21.81
47,17.41
46,19.8
45,21.54
44,15.74
43,18.43
42,18.07
41,17.82
39,16.8
37,16.21
35,22.17
34,21.79
33,21.25
32,21.8
30,15.67
29,15.22
28,14.47
27,15.24
26,14.09
24,18.49
23,18.61
22,19.03
20,16.64
18,15.43
17,16.83
16,17.64
15,17.09
14,16.74
13,15.25
12,16.57
11,17.78
10,18.94
9,16.99
8,16.11
7,15.67
6,15.19
5,17.13
4,17.47
3,17.16
2,16.19
1,15.38
0,18.22
